GeographyCode,LC6101NI0001,LC6101NI0002,LC6101NI0003,LC6101NI0004,LC6101NI0005,LC6101NI0006,LC6101NI0007,LC6101NI0008,LC6101NI0009,LC6101NI0010,LC6101NI0011,LC6101NI0012,LC6101NI0013,LC6101NI0014,LC6101NI0015,LC6101NI0016,LC6101NI0017,LC6101NI0018,LC6101NI0019,LC6101NI0020,LC6101NI0021,LC6101NI0022,LC6101NI0023,LC6101NI0024,LC6101NI0025,LC6101NI0026,LC6101NI0027,LC6101NI0028,LC6101NI0029,LC6101NI0030,LC6101NI0031,LC6101NI0032,LC6101NI0033,LC6101NI0034,LC6101NI0035,LC6101NI0036,LC6101NI0037,LC6101NI0038,LC6101NI0039,LC6101NI0040,LC6101NI0041,LC6101NI0042,LC6101NI0043,LC6101NI0044,LC6101NI0045,LC6101NI0046,LC6101NI0047,LC6101NI0048,LC6101NI0049,LC6101NI0050,LC6101NI0051,LC6101NI0052,LC6101NI0053,LC6101NI0054,LC6101NI0055,LC6101NI0056,LC6101NI0057,LC6101NI0058,LC6101NI0059,LC6101NI0060,LC6101NI0061,LC6101NI0062,LC6101NI0063
WELB,229329,33593,195736,37228,6951,30277,39254,4894,34360,42073,6198,35875,40372,6800,33572,31789,4848,26941,38613,3902,34711,112685,15391,97294,19052,2951,16101,19285,2221,17064,20743,2815,17928,20225,3224,17001,15979,2318,13661,17401,1862,15539,116644,18202,98442,18176,4000,14176,19969,2673,17296,21330,3383,17947,20147,3576,16571,15810,2530,13280,21212,2040,19172
UKN01,228679,34407,194272,43173,9236,33937,44992,7021,37971,36478,5190,31288,36457,5306,31151,26688,3778,22910,40891,3876,37015,108381,15476,92905,20904,3853,17051,22183,3318,18865,18000,2378,15622,17529,2504,15025,13219,1810,11409,16546,1613,14933,120298,18931,101367,22269,5383,16886,22809,3703,19106,18478,2812,15666,18928,2802,16126,13469,1968,11501,24345,2263,22082
UKN02,311648,48632,263016,45257,8992,36265,48873,6833,42040,55199,8404,46795,56306,9700,46606,43700,7272,36428,62313,7431,54882,148225,21803,126422,23350,3966,19384,23168,3015,20153,26479,3609,22870,27168,4373,22795,21306,3349,17957,26754,3491,23263,163423,26829,136594,21907,5026,16881,25705,3818,21887,28720,4795,23925,29138,5327,23811,22394,3923,18471,35559,3940,31619
UKN03,346252,50184,296068,50571,8828,41743,56023,7091,48932,62917,9271,53646,61080,10044,51036,49457,7763,41694,66204,7187,59017,168196,22599,145597,26187,3792,22395,27156,3192,23964,30778,3981,26797,30406,4695,25711,24492,3575,20917,29177,3364,25813,178056,27585,150471,24384,5036,19348,28867,3899,24968,32139,5290,26849,30674,5349,25325,24965,4188,20777,37027,3823,33204
UKN04,226804,32457,194347,37402,6931,30471,36986,4553,32433,41204,5850,35354,40020,6383,33637,31056,4676,26380,40136,4064,36072,110554,14827,95727,18816,2946,15870,18148,2053,16095,20125,2680,17445,19934,2981,16953,15549,2231,13318,17982,1936,16046,116250,17630,98620,18586,3985,14601,18838,2500,16338,21079,3170,17909,20086,3402,16684,15507,2445,13062,22154,2128,20026
UKN05,318157,48171,269986,51231,9297,41934,57064,7317,49747,58310,9080,49230,54715,9755,44960,42661,7003,35658,54176,5719,48457,157575,22080,135495,26532,3825,22707,28350,3440,24910,29308,4140,25168,27790,4669,23121,21416,3328,18088,24179,2678,21501,160582,26091,134491,24699,5472,19227,28714,3877,24837,29002,4940,24062,26925,5086,21839,21245,3675,17570,29997,3041,26956
95AA,41479,5784,35695,6186,985,5201,7231,898,6333,8025,1114,6911,7292,1154,6138,5674,884,4790,7071,749,6322,20174,2510,17664,3182,452,2730,3501,379,3122,3904,440,3464,3633,529,3104,2814,378,2436,3140,332,2808,21305,3274,18031,3004,533,2471,3730,519,3211,4121,674,3447,3659,625,3034,2860,506,2354,3931,417,3514
95BB,62813,9075,53738,8201,1418,6783,8892,1216,7676,10963,1589,9374,11397,1874,9523,10094,1530,8564,13266,1448,11818,30171,4064,26107,4224,583,3641,4250,547,3703,5246,656,4590,5549,840,4709,4950,738,4212,5952,700,5252,32642,5011,27631,3977,835,3142,4642,669,3973,5717,933,4784,5848,1034,4814,5144,792,4352,7314,748,6566
95CC,46195,7049,39146,7323,1344,5979,7822,1061,6761,8281,1304,6977,7997,1339,6658,6350,1022,5328,8422,979,7443,22800,3276,19524,3888,578,3310,3834,503,3331,4135,596,3539,4052,640,3412,3142,475,2667,3749,484,3265,23395,3773,19622,3435,766,2669,3988,558,3430,4146,708,3438,3945,699,3246,3208,547,2661,4673,495,4178
95DD,51185,7640,43545,7159,1318,5841,7947,1093,6854,9350,1484,7866,8557,1484,7073,7518,1186,6332,10654,1075,9579,24890,3484,21406,3785,597,3188,3894,499,3395,4596,651,3945,4261,672,3589,3735,552,3183,4619,513,4106,26295,4156,22139,3374,721,2653,4053,594,3459,4754,833,3921,4296,812,3484,3783,634,3149,6035,562,5473
95EE,24608,3439,21169,3713,637,3076,4098,533,3565,4617,689,3928,4361,705,3656,3167,472,2695,4652,403,4249,12116,1586,10530,1930,290,1640,2018,222,1796,2282,306,1976,2245,337,1908,1584,237,1347,2057,194,1863,12492,1853,10639,1783,347,1436,2080,311,1769,2335,383,1952,2116,368,1748,1583,235,1348,2595,209,2386
95FF,37527,5636,31891,5387,967,4420,6338,807,5531,7295,1149,6146,6847,1231,5616,4964,788,4176,6696,694,6002,18459,2611,15848,2863,427,2436,3043,365,2678,3632,511,3121,3464,596,2868,2495,386,2109,2962,326,2636,19068,3025,16043,2524,540,1984,3295,442,2853,3663,638,3025,3383,635,2748,2469,402,2067,3734,368,3366
95GG,228679,34407,194272,43173,9236,33937,44992,7021,37971,36478,5190,31288,36457,5306,31151,26688,3778,22910,40891,3876,37015,108381,15476,92905,20904,3853,17051,22183,3318,18865,18000,2378,15622,17529,2504,15025,13219,1810,11409,16546,1613,14933,120298,18931,101367,22269,5383,16886,22809,3703,19106,18478,2812,15666,18928,2802,16126,13469,1968,11501,24345,2263,22082
95HH,31409,4677,26732,4561,889,3672,4469,593,3876,5632,856,4776,6007,938,5069,4487,708,3779,6253,693,5560,14949,2062,12887,2360,389,1971,2043,241,1802,2687,358,2329,2943,433,2510,2186,314,1872,2730,327,2403,16460,2615,13845,2201,500,1701,2426,352,2074,2945,498,2447,3064,505,2559,2301,394,1907,3523,366,3157
95II,54400,8751,45649,7335,1616,5719,7897,1200,6697,9767,1492,8275,10497,1944,8553,7090,1156,5934,11814,1343,10471,25673,3930,21743,3752,696,3056,3710,522,3188,4793,669,4124,5005,874,4131,3468,533,2935,4945,636,4309,28727,4821,23906,3583,920,2663,4187,678,3509,4974,823,4151,5492,1070,4422,3622,623,2999,6869,707,6162
95JJ,47617,7967,39650,7843,1723,6120,6603,877,5726,7907,1288,6619,8554,1576,6978,6821,1240,5581,9889,1263,8626,22834,3568,19266,3809,707,3102,3262,410,2852,3804,590,3214,4209,705,3504,3398,585,2813,4352,571,3781,24783,4399,20384,4034,1016,3018,3341,467,2874,4103,698,3405,4345,871,3474,3423,655,2768,5537,692,4845
95KK,28719,3822,24897,4912,823,4089,5430,614,4816,5201,714,4487,4780,737,4043,3638,521,3117,4758,413,4345,14174,1770,12404,2482,323,2159,2740,304,2436,2606,329,2277,2422,362,2060,1789,266,1523,2135,186,1949,14545,2052,12493,2430,500,1930,2690,310,2380,2595,385,2210,2358,375,1983,1849,255,1594,2623,227,2396
95LL,72503,9629,62874,11358,1932,9426,13513,1550,11963,13373,1760,11613,12303,1744,10559,9339,1359,7980,12617,1284,11333,35210,4403,30807,5814,811,5003,6584,715,5869,6660,824,5836,6132,844,5288,4599,597,4002,5421,612,4809,37293,5226,32067,5544,1121,4423,6929,835,6094,6713,936,5777,6171,900,5271,4740,762,3978,7196,672,6524
95MM,83663,11510,72153,14706,2714,11992,14848,1803,13045,15285,2056,13229,14859,2153,12706,11113,1519,9594,12852,1265,11587,40278,5235,35043,7285,1125,6160,7187,794,6393,7382,956,6426,7161,1025,6136,5505,725,4780,5758,610,5148,43385,6275,37110,7421,1589,5832,7661,1009,6652,7903,1100,6803,7698,1128,6570,5608,794,4814,7094,655,6439
95NN,54746,8779,45967,8694,1595,7099,8554,1073,7481,9478,1530,7948,9721,1804,7917,7883,1410,6473,10416,1367,9049,26731,3962,22769,4495,679,3816,4201,485,3716,4615,647,3968,4833,852,3981,3925,679,3246,4662,620,4042,28015,4817,23198,4199,916,3283,4353,588,3765,4863,883,3980,4888,952,3936,3958,731,3227,5754,747,5007
95OO,44467,6266,38201,7353,1178,6175,8678,1032,7646,8353,1268,7085,7366,1209,6157,5545,845,4700,7172,734,6438,22163,2824,19339,3761,480,3281,4381,472,3909,4267,569,3698,3780,570,3210,2783,390,2393,3191,343,2848,22304,3442,18862,3592,698,2894,4297,560,3737,4086,699,3387,3586,639,2947,2762,455,2307,3981,391,3590
95PP,48664,8164,40500,7063,1304,5759,7942,1121,6821,8611,1558,7053,8569,1767,6802,7255,1354,5901,9224,1060,8164,24188,3754,20434,3768,587,3181,3965,528,3437,4309,690,3619,4348,819,3529,3635,638,2997,4163,492,3671,24476,4410,20066,3295,717,2578,3977,593,3384,4302,868,3434,4221,948,3273,3620,716,2904,5061,568,4493
95QQ,25999,3641,22358,3586,613,2973,3548,454,3094,4433,645,3788,4963,753,4210,3985,606,3379,5484,570,4914,12561,1565,10996,1824,243,1581,1683,202,1481,2125,252,1873,2534,362,2172,1974,245,1729,2421,261,2160,13438,2076,11362,1762,370,1392,1865,252,1613,2308,393,1915,2429,391,2038,2011,361,1650,3063,309,2754
95RR,26293,3363,22930,4293,723,3570,4480,493,3987,5158,664,4494,4501,634,3867,3626,485,3141,4235,364,3871,13222,1557,11665,2261,303,1958,2261,241,2020,2586,298,2288,2345,300,2045,1844,226,1618,1925,189,1736,13071,1806,11265,2032,420,1612,2219,252,1967,2572,366,2206,2156,334,1822,1782,259,1523,2310,175,2135
95SS,93625,14276,79349,14602,2659,11943,15919,2109,13810,16922,2546,14376,16834,2852,13982,12689,2113,10576,16659,1997,14662,44972,6574,38398,7565,1207,6358,7722,987,6735,8049,1095,6954,8179,1353,6826,6223,1004,5219,7234,928,6306,48653,7702,40951,7037,1452,5585,8197,1122,7075,8873,1451,7422,8655,1499,7156,6466,1109,5357,9425,1069,8356
95TT,34461,4976,29485,5844,1034,4810,6304,790,5514,6510,932,5578,5773,1001,4772,4401,701,3700,5629,518,5111,17172,2285,14887,2998,407,2591,3195,383,2812,3308,439,2869,2918,485,2433,2231,329,1902,2522,242,2280,17289,2691,14598,2846,627,2219,3109,407,2702,3202,493,2709,2855,516,2339,2170,372,1798,3107,276,2831
95UU,13603,2188,11415,1982,338,1644,1879,254,1625,2332,381,1951,2397,470,1927,2092,419,1673,2921,326,2595,6798,1012,5786,1038,147,891,944,126,818,1180,169,1011,1201,216,985,1088,201,887,1347,153,1194,6805,1176,5629,944,191,753,935,128,807,1152,212,940,1196,254,942,1004,218,786,1574,173,1401
95VV,75962,11328,64634,12435,2200,10235,13982,1815,12167,14240,2156,12084,13135,2301,10834,9914,1611,8303,12256,1245,11011,37387,5195,32192,6390,888,5502,6839,852,5987,7108,1007,6101,6672,1111,5561,4971,758,4213,5407,579,4828,38575,6133,32442,6045,1312,4733,7143,963,6180,7132,1149,5983,6463,1190,5273,4943,853,4090,6849,666,6183
95WW,67792,9841,57951,10579,2056,8523,11093,1519,9574,12047,1730,10317,11751,1860,9891,9207,1362,7845,13115,1314,11801,32113,4369,27744,5403,903,4500,5146,643,4503,5761,760,5001,5694,820,4874,4468,626,3842,5641,617,5024,35679,5472,30207,5176,1153,4023,5947,876,5071,6286,970,5316,6057,1040,5017,4739,736,4003,7474,697,6777
95XX,64422,11087,53335,8180,1772,6408,9495,1412,8083,10831,1780,9051,11217,2106,9111,10227,1933,8294,14472,2084,12388,30518,4868,25650,4270,771,3499,4547,622,3925,5189,727,4462,5347,893,4454,4961,872,4089,6204,983,5221,33904,6219,27685,3910,1001,2909,4948,790,4158,5642,1053,4589,5870,1213,4657,5266,1061,4205,8268,1101,7167
95YY,39689,6566,33123,6301,1414,4887,6906,884,6022,7114,1148,5966,7095,1401,5694,5558,949,4609,6715,770,5945,19691,2976,16715,3245,562,2683,3396,398,2998,3575,510,3065,3598,682,2916,2865,472,2393,3012,352,2660,19998,3590,16408,3056,852,2204,3510,486,3024,3539,638,2901,3497,719,2778,2693,477,2216,3703,418,3285
95ZZ,31020,3990,27030,4865,796,4069,5078,593,4485,5905,772,5133,5348,845,4503,4237,541,3696,5587,443,5144,15306,1869,13437,2493,374,2119,2476,260,2216,2891,361,2530,2773,398,2375,2130,257,1873,2543,219,2324,15714,2121,13593,2372,422,1950,2602,333,2269,3014,411,2603,2575,447,2128,2107,284,1823,3044,224,2820
