GeographyCode,DC6506NI0001,DC6506NI0002,DC6506NI0003,DC6506NI0004,DC6506NI0005,DC6506NI0006,DC6506NI0007,DC6506NI0008,DC6506NI0009,DC6506NI0010,DC6506NI0011,DC6506NI0012,DC6506NI0013,DC6506NI0014,DC6506NI0015,DC6506NI0016,DC6506NI0017,DC6506NI0018,DC6506NI0019,DC6506NI0020,DC6506NI0021,DC6506NI0022,DC6506NI0023,DC6506NI0024
95JJ21,2479,504,1975,661,30,631,259,38,221,358,60,298,66,5,61,608,220,388,417,113,304,110,38,72
95JJ22,2268,494,1774,447,46,401,226,30,196,364,95,269,72,12,60,288,69,219,752,227,525,119,15,104
95KK01,1968,215,1753,749,28,721,230,19,211,284,40,244,88,6,82,213,33,180,336,78,258,68,11,57
95KK02,1595,173,1422,557,21,536,187,15,172,221,30,191,72,3,69,182,31,151,318,62,256,58,11,47
95KK03,1754,213,1541,627,29,598,213,27,186,273,50,223,90,11,79,207,28,179,290,61,229,54,7,47
95KK04,2126,245,1881,612,30,582,288,23,265,351,49,302,68,7,61,257,49,208,387,76,311,163,11,152
95KK05,2020,273,1747,629,31,598,255,30,225,277,47,230,110,17,93,275,39,236,416,100,316,58,9,49
95KK06,1527,168,1359,602,32,570,168,17,151,248,36,212,39,6,33,162,21,141,217,54,163,91,2,89
95KK07,1583,232,1351,538,32,506,173,28,145,229,41,188,71,9,62,197,36,161,308,77,231,67,9,58
95KK08,1985,288,1697,646,33,613,230,26,204,287,53,234,84,9,75,219,47,172,421,109,312,98,11,87
95KK09,1776,238,1538,584,41,543,207,22,185,263,53,210,60,10,50,188,36,152,291,67,224,183,9,174
