GeographyCode,DC2509NI0001,DC2509NI0002,DC2509NI0003,DC2509NI0004,DC2509NI0005,DC2509NI0006,DC2509NI0007,DC2509NI0008,DC2509NI0009,DC2509NI0010,DC2509NI0011,DC2509NI0012,DC2509NI0013,DC2509NI0014,DC2509NI0015,DC2509NI0016,DC2509NI0017,DC2509NI0018,DC2509NI0019,DC2509NI0020,DC2509NI0021,DC2509NI0022,DC2509NI0023,DC2509NI0024,DC2509NI0025,DC2509NI0026,DC2509NI0027,DC2509NI0028,DC2509NI0029,DC2509NI0030,DC2509NI0031,DC2509NI0032,DC2509NI0033,DC2509NI0034,DC2509NI0035,DC2509NI0036,DC2509NI0037,DC2509NI0038,DC2509NI0039,DC2509NI0040,DC2509NI0041,DC2509NI0042,DC2509NI0043,DC2509NI0044,DC2509NI0045,DC2509NI0046,DC2509NI0047,DC2509NI0048,DC2509NI0049,DC2509NI0050,DC2509NI0051,DC2509NI0052,DC2509NI0053,DC2509NI0054,DC2509NI0055,DC2509NI0056,DC2509NI0057,DC2509NI0058,DC2509NI0059,DC2509NI0060,DC2509NI0061,DC2509NI0062,DC2509NI0063,DC2509NI0064,DC2509NI0065,DC2509NI0066,DC2509NI0067,DC2509NI0068,DC2509NI0069,DC2509NI0070,DC2509NI0071,DC2509NI0072,DC2509NI0073,DC2509NI0074,DC2509NI0075,DC2509NI0076,DC2509NI0077,DC2509NI0078,DC2509NI0079,DC2509NI0080,DC2509NI0081,DC2509NI0082,DC2509NI0083,DC2509NI0084,DC2509NI0085,DC2509NI0086,DC2509NI0087,DC2509NI0088,DC2509NI0089,DC2509NI0090,DC2509NI0091,DC2509NI0092,DC2509NI0093,DC2509NI0094,DC2509NI0095,DC2509NI0096,DC2509NI0097,DC2509NI0098,DC2509NI0099,DC2509NI0100,DC2509NI0101,DC2509NI0102,DC2509NI0103,DC2509NI0104,DC2509NI0105,DC2509NI0106,DC2509NI0107,DC2509NI0108,DC2509NI0109,DC2509NI0110,DC2509NI0111,DC2509NI0112,DC2509NI0113,DC2509NI0114,DC2509NI0115,DC2509NI0116,DC2509NI0117,DC2509NI0118,DC2509NI0119,DC2509NI0120
WELB,229329,153127,71155,1331,3716,77215,51547,24548,284,836,26365,17154,8681,87,443,33805,22281,10802,138,584,8219,5587,2497,31,104,26561,17980,7924,140,517,47687,32455,13839,481,912,9477,6123,2864,170,320,112685,74274,35507,704,2200,39227,25972,12590,149,516,13482,8574,4588,51,269,15158,9868,4890,57,343,7672,5213,2340,26,93,12413,8252,3787,84,290,19438,12990,5698,242,508,5295,3405,1614,95,181,116644,78853,35648,627,1516,37988,25575,11958,135,320,12883,8580,4093,36,174,18647,12413,5912,81,241,547,374,157,5,11,14148,9728,4137,56,227,28249,19465,8141,239,404,4182,2718,1250,75,139
UKN01,228679,109160,101616,3898,14005,69498,31578,34939,579,2402,24585,11998,10793,234,1560,28773,14303,12158,338,1974,7444,2945,4190,56,253,30052,14900,12433,410,2309,59536,29460,23838,1724,4514,8791,3976,3265,557,993,108381,50740,47403,2188,8050,30581,14423,14556,298,1304,11179,5412,4745,121,901,12237,6060,4915,178,1084,6848,2691,3877,52,228,14586,6896,6084,224,1382,28482,13183,11703,986,2610,4468,2075,1523,329,541,120298,58420,54213,1710,5955,38917,17155,20383,281,1098,13406,6586,6048,113,659,16536,8243,7243,160,890,596,254,313,4,25,15466,8004,6349,186,927,31054,16277,12135,738,1904,4323,1901,1742,228,452
UKN02,311648,70215,217307,3343,20783,75167,13983,56831,680,3673,37367,8090,25895,309,3073,48673,10949,33397,373,3954,14493,2352,11331,88,722,39865,9566,26698,352,3249,84597,22432,55680,1240,5245,11486,2843,7475,301,867,148225,32271,102452,1691,11811,32563,6392,23784,307,2080,17140,3655,11610,155,1720,20156,4593,13259,186,2118,13486,2168,10567,81,670,19608,4397,13222,173,1816,39700,9595,26584,602,2919,5572,1471,3426,187,488,163423,37944,114855,1652,8972,42604,7591,33047,373,1593,20227,4435,14285,154,1353,28517,6356,20138,187,1836,1007,184,764,7,52,20257,5169,13476,179,1433,44897,12837,29096,638,2326,5914,1372,4049,114,379
UKN03,346252,120190,206930,2958,16174,97849,33324,60552,771,3202,41019,14151,24148,343,2377,54900,18756,32595,399,3150,16592,5366,10512,92,622,41951,14595,24766,277,2313,78507,27522,46791,804,3390,15434,6476,7566,272,1120,168196,57836,99625,1480,9255,46798,16637,27890,401,1870,19780,6732,11494,167,1387,22918,7826,13312,188,1592,15546,5026,9870,86,564,20607,6897,12237,144,1329,34245,11196,20864,357,1828,8302,3522,3958,137,685,178056,62354,107305,1478,6919,51051,16687,32662,370,1332,21239,7419,12654,176,990,31982,10930,19283,211,1558,1046,340,642,6,58,21344,7698,12529,133,984,44262,16326,25927,447,1562,7132,2954,3608,135,435
UKN04,226804,125603,94366,1509,5326,75017,41759,31846,301,1111,26352,14286,11257,122,687,33746,18542,14099,167,938,8568,4742,3646,41,139,27495,15452,10987,169,887,47180,26167,19191,550,1272,8446,4655,3340,159,292,110554,60467,46203,798,3086,37091,20552,15718,150,671,13093,7003,5631,67,392,14686,7985,6085,84,532,7981,4412,3409,33,127,12862,7098,5161,101,502,20111,10806,8342,274,689,4730,2611,1857,89,173,116250,65136,48163,711,2240,37926,21207,16128,151,440,13259,7283,5626,55,295,19060,10557,8014,83,406,587,330,237,8,12,14633,8354,5826,68,385,27069,15361,10849,276,583,3716,2044,1483,70,119
UKN05,318157,205173,105241,1788,5955,99320,62530,34922,466,1402,35475,22274,12349,138,714,47478,30131,16245,214,888,13365,8920,4199,43,203,36747,23874,11979,177,717,68724,45980,20998,523,1223,17048,11464,4549,227,808,157575,101023,52196,923,3433,52144,32976,18078,256,834,18536,11517,6520,79,420,21022,13338,7100,114,470,12507,8365,3918,37,187,16981,10940,5568,87,386,26664,17377,8375,238,674,9721,6510,2637,112,462,160582,104150,53045,865,2522,47176,29554,16844,210,568,16939,10757,5829,59,294,26456,16793,9145,100,418,858,555,281,6,16,19766,12934,6411,90,331,42060,28603,12623,285,549,7327,4954,1912,115,346
95AA,41479,16585,22196,394,2304,10904,4104,6322,68,410,5097,1999,2717,32,349,6863,2803,3542,50,468,1873,715,1074,6,78,4979,1988,2620,32,339,9828,4077,5132,157,462,1935,899,789,49,198,20174,7896,10757,200,1321,5319,2058,2993,33,235,2405,947,1243,15,200,2834,1152,1424,25,233,1755,672,1008,6,69,2493,941,1331,14,207,4304,1631,2333,84,256,1064,495,425,23,121,21305,8689,11439,194,983,5585,2046,3329,35,175,2692,1052,1474,17,149,4029,1651,2118,25,235,118,43,66,0,9,2486,1047,1289,18,132,5524,2446,2799,73,206,871,404,364,26,77
95BB,62813,7955,49944,663,4251,16755,2095,13687,178,795,8030,994,6262,93,681,10318,1217,8110,104,887,3507,405,2887,16,199,7747,951,6085,61,650,14010,1846,11139,154,871,2446,447,1774,57,168,30171,3766,23685,312,2408,7538,1020,5994,92,432,3774,438,2891,41,404,4211,502,3227,47,435,3272,380,2691,15,186,3706,432,2893,27,354,6368,760,5062,60,486,1302,234,927,30,111,32642,4189,26259,351,1843,9217,1075,7693,86,363,4256,556,3371,52,277,6107,715,4883,57,452,235,25,196,1,13,4041,519,3192,34,296,7642,1086,6077,94,385,1144,213,847,27,57
95CC,46195,22150,22611,307,1127,14021,6769,6951,77,224,5139,2389,2582,28,140,7072,3303,3540,37,192,1977,876,1046,11,44,5411,2547,2700,27,137,10267,5036,4879,95,257,2308,1230,913,32,133,22800,10865,11144,150,641,7309,3601,3524,48,136,2711,1265,1354,15,77,3112,1458,1538,18,98,1834,820,962,10,42,2504,1186,1238,8,72,4092,1871,2040,37,144,1238,664,488,14,72,23395,11285,11467,157,486,6712,3168,3427,29,88,2428,1124,1228,13,63,3960,1845,2002,19,94,143,56,84,1,2,2907,1361,1462,19,65,6175,3165,2839,58,113,1070,566,425,18,61
95DD,51185,11209,37575,439,1962,16116,2962,12599,133,422,5540,1216,3984,51,289,7595,1648,5494,58,395,2357,466,1792,19,80,5914,1295,4312,42,265,11263,2822,7961,106,374,2400,800,1433,30,137,24890,5429,18141,218,1102,7648,1465,5875,66,242,2676,608,1882,24,162,3124,678,2234,21,191,2235,441,1703,19,72,3087,662,2251,24,150,4834,1148,3432,51,203,1286,427,764,13,82,26295,5780,19434,221,860,8468,1497,6724,67,180,2864,608,2102,27,127,4471,970,3260,37,204,122,25,89,0,8,2827,633,2061,18,115,6429,1674,4529,55,171,1114,373,669,17,55
95EE,24608,7556,16090,169,793,8229,2395,5598,54,182,2914,842,1931,20,121,3987,1282,2521,22,162,1165,412,708,12,33,2886,922,1805,17,142,4521,1360,3013,33,115,906,343,514,11,38,12116,3733,7851,93,439,4246,1260,2854,25,107,1444,430,940,13,61,1637,526,1006,16,89,1085,381,663,11,30,1377,434,854,11,78,1785,485,1235,14,51,542,217,299,3,23,12492,3823,8239,76,354,3983,1135,2744,29,75,1470,412,991,7,60,2350,756,1515,6,73,80,31,45,1,3,1509,488,951,6,64,2736,875,1778,19,64,364,126,215,8,15
95FF,37527,11822,23960,295,1450,10440,3260,6836,82,262,4525,1430,2839,28,228,5855,1693,3877,26,259,1689,573,1054,13,49,4630,1429,2940,39,222,8924,2889,5591,81,363,1464,548,823,26,67,18459,5727,11748,152,832,5242,1645,3391,44,162,2239,692,1407,13,127,2550,721,1677,17,135,1577,545,980,11,41,2208,668,1395,18,127,3823,1145,2448,36,194,820,311,450,13,46,19068,6095,12212,143,618,5198,1615,3445,38,100,2286,738,1432,15,101,3305,972,2200,9,124,112,28,74,2,8,2422,761,1545,21,95,5101,1744,3143,45,169,644,237,373,13,21
95GG,228679,109160,101616,3898,14005,69498,31578,34939,579,2402,24585,11998,10793,234,1560,28773,14303,12158,338,1974,7444,2945,4190,56,253,30052,14900,12433,410,2309,59536,29460,23838,1724,4514,8791,3976,3265,557,993,108381,50740,47403,2188,8050,30581,14423,14556,298,1304,11179,5412,4745,121,901,12237,6060,4915,178,1084,6848,2691,3877,52,228,14586,6896,6084,224,1382,28482,13183,11703,986,2610,4468,2075,1523,329,541,120298,58420,54213,1710,5955,38917,17155,20383,281,1098,13406,6586,6048,113,659,16536,8243,7243,160,890,596,254,313,4,25,15466,8004,6349,186,927,31054,16277,12135,738,1904,4323,1901,1742,228,452
95HH,31409,3062,25647,312,2388,7992,642,6802,82,466,4037,363,3264,31,379,5074,496,4072,39,467,1741,114,1510,12,105,4108,396,3324,26,362,7325,892,5812,101,520,1132,159,863,21,89,14949,1390,12052,152,1355,3420,273,2849,41,257,1845,182,1447,13,203,1976,202,1516,16,242,1614,105,1399,10,100,2049,186,1652,9,202,3505,357,2798,49,301,540,85,391,14,50,16460,1672,13595,160,1033,4572,369,3953,41,209,2192,181,1817,18,176,3098,294,2556,23,225,127,9,111,2,5,2059,210,1672,17,160,3820,535,3014,52,219,592,74,472,7,39
95II,54400,11313,38887,669,3531,12918,1230,10910,123,655,6086,880,4652,54,500,7991,1473,5835,59,624,2553,254,2165,13,121,6598,1419,4552,77,550,16304,5659,9432,286,927,1950,398,1341,57,154,25673,5149,18197,325,2002,5381,576,4387,58,360,2745,409,2038,25,273,3344,644,2326,28,346,2382,229,2031,11,111,3298,696,2260,33,309,7623,2398,4579,137,509,900,197,576,33,94,28727,6164,20690,344,1529,7537,654,6523,65,295,3341,471,2614,29,227,4647,829,3509,31,278,171,25,134,2,10,3300,723,2292,44,241,8681,3261,4853,149,418,1050,201,765,24,60
95JJ,47617,12988,32149,443,2037,13612,3479,9674,79,380,5347,1313,3725,39,270,7116,1864,4838,52,362,1734,486,1200,11,37,6189,1771,3993,52,373,11646,3322,7650,171,503,1973,753,1069,39,112,22834,6167,15297,216,1154,6551,1744,4555,37,215,2591,655,1767,20,149,3105,801,2079,28,197,1606,451,1114,6,35,2799,766,1787,30,216,5131,1346,3440,75,270,1051,404,555,20,72,24783,6821,16852,227,883,7061,1735,5119,42,165,2756,658,1958,19,121,4011,1063,2759,24,165,128,35,86,5,2,3390,1005,2206,22,157,6515,1976,4210,96,233,922,349,514,19,40
95KK,28719,16613,11362,150,594,9667,5440,4001,56,170,3364,1973,1298,14,79,4359,2512,1749,21,77,1165,719,432,3,11,3356,1964,1303,17,72,5421,3203,2108,25,85,1387,802,471,14,100,14174,8144,5596,84,350,5050,2857,2061,31,101,1746,1035,649,10,52,1805,1019,731,10,45,1082,668,401,3,10,1557,889,621,9,38,2085,1192,831,14,48,849,484,302,7,56,14545,8469,5766,66,244,4617,2583,1940,25,69,1618,938,649,4,27,2554,1493,1018,11,32,83,51,31,0,1,1799,1075,682,8,34,3336,2011,1277,11,37,538,318,169,7,44
95LL,72503,32609,36273,664,2957,22178,10280,10971,202,725,8503,3888,4136,78,401,11358,5031,5788,78,461,2767,1142,1530,12,83,8334,3661,4277,57,339,15311,6371,8221,161,558,4052,2236,1350,76,390,35210,15824,17344,350,1692,10658,5114,4996,113,435,4262,1894,2092,40,236,4826,2132,2418,40,236,2591,1065,1441,11,74,4067,1754,2099,37,177,6651,2642,3635,67,307,2155,1223,663,42,227,37293,16785,18929,314,1265,11520,5166,5975,89,290,4241,1994,2044,38,165,6532,2899,3370,38,225,176,77,89,1,9,4267,1907,2178,20,162,8660,3729,4586,94,251,1897,1013,687,34,163
95MM,83663,61849,19749,642,1423,27285,20379,6523,100,283,9795,7164,2442,45,144,12316,9086,2943,66,221,2946,2103,792,15,36,10294,7657,2339,75,223,18272,13582,3980,264,446,2755,1878,730,77,70,40278,29437,9620,356,865,12896,9596,3066,51,183,4747,3407,1223,26,91,5359,3918,1272,25,144,2717,1938,733,14,32,4890,3592,1124,48,126,8190,5975,1817,145,253,1479,1011,385,47,36,43385,32412,10129,286,558,14389,10783,3457,49,100,5048,3757,1219,19,53,6957,5168,1671,41,77,229,165,59,1,4,5404,4065,1215,27,97,10082,7607,2163,119,193,1276,867,345,30,34
95NN,54746,33639,18756,343,2008,14199,8788,4976,66,369,6077,3782,2020,42,233,8802,5361,2958,59,424,2825,1718,1019,14,74,7006,4474,2190,34,308,13749,8241,4903,104,501,2088,1275,690,24,99,26731,16206,9171,164,1190,7062,4457,2347,33,225,2938,1768,995,22,153,3767,2257,1248,29,233,2635,1611,946,13,65,3347,2055,1080,16,196,5858,3370,2192,40,256,1124,688,363,11,62,28015,17433,9585,179,818,7137,4331,2629,33,144,3139,2014,1025,20,80,5035,3104,1710,30,191,190,107,73,1,9,3659,2419,1110,18,112,7891,4871,2711,64,245,964,587,327,13,37
95OO,44467,28031,15338,278,820,13813,8337,5194,74,208,4769,2981,1674,24,90,6390,3912,2337,38,103,1617,1031,561,6,19,5053,3214,1724,32,83,9415,6138,3086,59,132,3410,2418,762,45,185,22163,14040,7506,136,481,7331,4512,2662,36,121,2512,1567,879,13,53,2818,1751,980,26,61,1510,964,526,4,16,2365,1487,820,11,47,3643,2368,1185,20,70,1984,1391,454,26,113,22304,13991,7832,142,339,6482,3825,2532,38,87,2257,1414,795,11,37,3572,2161,1357,12,42,107,67,35,2,3,2688,1727,904,21,36,5772,3770,1901,39,62,1426,1027,308,19,72
95PP,48664,28494,18924,302,944,15733,9259,6176,77,221,5725,3148,2428,21,128,7320,4093,3049,32,146,1714,1089,588,10,27,5213,3061,2011,38,103,10353,6200,3857,84,212,2606,1644,815,40,107,24188,14122,9376,148,542,8373,4941,3255,40,137,3068,1684,1304,12,68,3376,1891,1388,14,83,1606,1017,556,7,26,2440,1412,948,21,59,3929,2297,1488,36,108,1396,880,437,18,61,24476,14372,9548,154,402,7360,4318,2921,37,84,2657,1464,1124,9,60,3944,2202,1661,18,63,108,72,32,3,1,2773,1649,1063,17,44,6424,3903,2369,48,104,1210,764,378,22,46
95QQ,25999,6371,18226,160,1242,7257,1835,5161,42,219,3247,842,2190,19,196,4109,1003,2826,24,256,1574,347,1156,12,59,3341,797,2342,12,190,5422,1276,3844,41,261,1049,271,707,10,61,12561,2988,8779,84,710,3331,878,2294,20,139,1486,385,984,12,105,1606,384,1084,9,129,1481,312,1101,11,57,1699,385,1188,8,118,2407,500,1762,19,126,551,144,366,5,36,13438,3383,9447,76,532,3926,957,2867,22,80,1761,457,1206,7,91,2503,619,1742,15,127,93,35,55,1,2,1642,412,1154,4,72,3015,776,2082,22,135,498,127,341,5,25
95RR,26293,15331,10363,94,505,9067,5385,3541,22,119,3079,1746,1251,6,76,4016,2286,1631,10,89,1131,727,387,2,15,3235,1937,1211,8,79,4753,2680,1948,33,92,1012,570,394,13,35,13222,7579,5280,54,309,4659,2764,1807,13,75,1591,862,673,3,53,1836,1003,779,6,48,1074,687,372,2,13,1527,886,595,4,42,1920,1030,820,16,54,615,347,234,10,24,13071,7752,5083,40,196,4408,2621,1734,9,44,1488,884,578,3,23,2180,1283,852,4,41,57,40,15,0,2,1708,1051,616,4,37,2833,1650,1128,17,38,397,223,160,3,11
95SS,93625,32306,55759,816,4744,23658,8016,14616,172,854,11398,4178,6427,76,717,14760,5247,8470,106,937,4051,1180,2694,26,151,11629,4246,6556,83,744,24633,8224,14977,289,1143,3496,1215,2019,64,198,44972,14984,26810,424,2754,10830,3730,6504,88,508,5313,1828,3032,38,415,6257,2199,3497,56,505,3773,1098,2510,26,139,5605,1911,3239,38,417,11411,3574,7040,142,655,1783,644,988,36,115,48653,17322,28949,392,1990,12828,4286,8112,84,346,6085,2350,3395,38,302,8503,3048,4973,50,432,278,82,184,0,12,6024,2335,3317,45,327,13222,4650,7937,147,488,1713,571,1031,28,83
95TT,34461,22369,11398,175,519,10871,6473,4213,46,139,3824,2396,1354,14,60,5198,3456,1632,15,95,1551,1046,484,6,15,4152,2792,1282,22,56,7467,5295,2021,48,103,1398,911,412,24,51,17172,11052,5734,92,294,5724,3423,2201,23,77,2021,1270,710,6,35,2298,1556,690,11,41,1476,998,457,6,15,1935,1292,602,12,29,2845,1938,821,20,66,873,575,253,14,31,17289,11317,5664,83,225,5147,3050,2012,23,62,1803,1126,644,8,25,2900,1900,942,4,54,75,48,27,0,0,2217,1500,680,10,27,4622,3357,1200,28,37,525,336,159,10,20
95UU,13603,8019,5208,69,307,4254,2190,1971,18,75,1629,957,625,6,41,2058,1262,727,8,61,622,399,213,0,10,1491,931,514,11,35,2997,1937,967,19,74,552,343,191,7,11,6798,3984,2602,36,176,2232,1176,996,11,49,845,504,319,2,20,876,537,299,4,36,585,374,201,0,10,756,471,258,6,21,1188,722,421,10,35,316,200,108,3,5,6805,4035,2606,33,131,2022,1014,975,7,26,784,453,306,4,21,1182,725,428,4,25,37,25,12,0,0,735,460,256,5,14,1809,1215,546,9,39,236,143,83,4,6
