GeographyCode,DC2216NI0001,DC2216NI0002,DC2216NI0003,DC2216NI0004,DC2216NI0005,DC2216NI0006,DC2216NI0007,DC2216NI0008,DC2216NI0009,DC2216NI0010,DC2216NI0011,DC2216NI0012,DC2216NI0013,DC2216NI0014,DC2216NI0015,DC2216NI0016,DC2216NI0017,DC2216NI0018,DC2216NI0019,DC2216NI0020,DC2216NI0021,DC2216NI0022,DC2216NI0023,DC2216NI0024,DC2216NI0025,DC2216NI0026,DC2216NI0027,DC2216NI0028,DC2216NI0029,DC2216NI0030,DC2216NI0031,DC2216NI0032,DC2216NI0033,DC2216NI0034,DC2216NI0035,DC2216NI0036,DC2216NI0037,DC2216NI0038,DC2216NI0039,DC2216NI0040,DC2216NI0041,DC2216NI0042,DC2216NI0043,DC2216NI0044,DC2216NI0045,DC2216NI0046,DC2216NI0047,DC2216NI0048,DC2216NI0049,DC2216NI0050,DC2216NI0051,DC2216NI0052,DC2216NI0053,DC2216NI0054,DC2216NI0055,DC2216NI0056,DC2216NI0057,DC2216NI0058,DC2216NI0059,DC2216NI0060,DC2216NI0061,DC2216NI0062,DC2216NI0063,DC2216NI0064,DC2216NI0065,DC2216NI0066,DC2216NI0067,DC2216NI0068,DC2216NI0069,DC2216NI0070,DC2216NI0071,DC2216NI0072,DC2216NI0073,DC2216NI0074,DC2216NI0075,DC2216NI0076,DC2216NI0077,DC2216NI0078,DC2216NI0079,DC2216NI0080,DC2216NI0081,DC2216NI0082,DC2216NI0083,DC2216NI0084,DC2216NI0085,DC2216NI0086,DC2216NI0087,DC2216NI0088,DC2216NI0089,DC2216NI0090,DC2216NI0091,DC2216NI0092,DC2216NI0093,DC2216NI0094,DC2216NI0095,DC2216NI0096,DC2216NI0097,DC2216NI0098,DC2216NI0099,DC2216NI0100,DC2216NI0101,DC2216NI0102,DC2216NI0103,DC2216NI0104,DC2216NI0105,DC2216NI0106,DC2216NI0107,DC2216NI0108,DC2216NI0109,DC2216NI0110,DC2216NI0111,DC2216NI0112,DC2216NI0113,DC2216NI0114,DC2216NI0115,DC2216NI0116,DC2216NI0117,DC2216NI0118,DC2216NI0119,DC2216NI0120,DC2216NI0121,DC2216NI0122,DC2216NI0123,DC2216NI0124,DC2216NI0125,DC2216NI0126,DC2216NI0127,DC2216NI0128,DC2216NI0129,DC2216NI0130,DC2216NI0131,DC2216NI0132,DC2216NI0133,DC2216NI0134,DC2216NI0135,DC2216NI0136,DC2216NI0137,DC2216NI0138,DC2216NI0139,DC2216NI0140,DC2216NI0141,DC2216NI0142,DC2216NI0143,DC2216NI0144,DC2216NI0145,DC2216NI0146,DC2216NI0147,DC2216NI0148,DC2216NI0149,DC2216NI0150,DC2216NI0151,DC2216NI0152,DC2216NI0153,DC2216NI0154,DC2216NI0155,DC2216NI0156,DC2216NI0157,DC2216NI0158,DC2216NI0159,DC2216NI0160,DC2216NI0161,DC2216NI0162,DC2216NI0163,DC2216NI0164,DC2216NI0165,DC2216NI0166,DC2216NI0167,DC2216NI0168,DC2216NI0169,DC2216NI0170,DC2216NI0171,DC2216NI0172,DC2216NI0173,DC2216NI0174,DC2216NI0175,DC2216NI0176,DC2216NI0177,DC2216NI0178,DC2216NI0179,DC2216NI0180,DC2216NI0181,DC2216NI0182
WELB,282102,276095,6007,2306,2106,1300,295,276856,275184,1672,1056,347,188,81,5246,911,4335,1250,1759,1112,214,74472,74113,359,185,98,57,19,115116,114354,762,622,86,26,28,66499,66378,121,65,23,20,13,8538,8519,19,8,6,3,2,3897,3880,17,9,4,1,3,1647,1646,1,1,0,0,0,1466,1462,4,2,0,2,0,1821,1813,8,3,5,0,0,1113,1107,6,1,5,0,0,163,156,7,7,0,0,0,1037,1029,8,7,1,0,0,489,90,399,223,132,41,3,143,83,60,35,13,6,6,3369,112,3257,696,1373,992,196,2015,47,1968,408,826,610,124,515,20,495,98,215,164,18,839,45,794,190,332,218,54,232,42,190,50,69,62,9,138,17,121,32,46,38,5,35,5,30,6,10,11,3,59,20,39,12,13,13,1,1388,709,679,331,254,79,15,712,602,110,61,37,11,1
UKN01,269804,256904,12900,6083,4427,1944,446,258082,254215,3867,2573,812,345,137,11722,2689,9033,3510,3615,1599,309,95017,93791,1226,582,360,202,82,83552,81881,1671,1453,162,28,28,50511,50346,165,108,35,14,8,14392,14373,19,11,5,2,1,3342,3325,17,13,3,0,1,3306,3300,6,3,2,1,0,2069,2059,10,9,0,1,0,1453,1435,18,8,7,2,1,1028,1014,14,13,1,0,0,158,149,9,7,2,0,0,1480,1469,11,5,4,1,1,1249,216,1033,740,250,39,4,244,127,117,79,35,3,0,5044,203,4841,1371,2176,1106,188,3603,124,3479,907,1601,812,159,230,13,217,91,77,43,6,1211,66,1145,373,498,251,23,283,44,239,93,88,50,8,168,25,143,43,63,31,6,18,2,16,3,5,8,0,97,17,80,47,20,11,2,5429,2270,3159,1399,1189,454,117,1247,902,345,189,108,41,7
UKN02,374966,367324,7642,3582,2624,1194,242,367986,365349,2637,1523,656,342,116,6980,1975,5005,2059,1968,852,126,197483,196204,1279,615,367,228,69,45062,44482,580,473,74,19,14,69885,69737,148,77,40,17,14,35255,35190,65,35,16,11,3,2677,2662,15,13,2,0,0,5476,5471,5,4,1,0,0,3034,3019,15,11,1,2,1,2594,2587,7,2,3,2,0,1647,1635,12,8,0,0,4,315,305,10,8,1,0,1,2916,2909,7,4,2,1,0,794,214,580,424,118,35,3,189,139,50,42,6,1,1,2938,158,2780,797,1270,611,102,1981,93,1888,500,871,445,72,374,22,352,102,171,69,10,583,43,540,195,228,97,20,245,33,212,86,72,46,8,165,18,147,50,55,37,5,29,4,25,12,9,3,1,51,11,40,24,8,6,2,3248,1603,1645,838,580,206,21,1208,976,232,145,71,15,1
UKN03,420580,408237,12343,3746,4804,3084,709,408903,406457,2446,1195,718,385,148,11677,1780,9897,2551,4086,2699,561,204002,203012,990,402,328,185,75,65422,64979,443,356,61,20,6,87863,87655,208,83,60,39,26,31965,31890,75,37,22,10,6,3222,3211,11,11,0,0,0,4541,4536,5,3,0,2,0,2861,2857,4,2,2,0,0,2748,2737,11,5,2,2,2,1668,1654,14,9,3,1,1,309,295,14,12,0,1,1,2567,2555,12,4,6,1,1,1316,239,1077,471,357,186,63,261,120,141,73,48,19,1,7953,277,7676,1543,3324,2343,466,4329,130,4199,792,1845,1282,280,1613,67,1546,260,640,530,116,2011,80,1931,491,839,531,70,365,54,311,86,122,78,25,201,30,171,53,75,30,13,86,7,79,10,29,29,11,78,17,61,23,18,19,1,2408,1264,1144,537,405,170,32,1109,902,207,112,64,27,4
UKN04,277050,272011,5039,2079,1615,1041,304,272690,271086,1604,1027,327,161,89,4360,925,3435,1052,1288,880,215,93564,93168,396,196,112,61,27,92600,91930,670,565,67,17,21,61301,61193,108,56,17,19,16,12541,12506,35,16,10,5,4,3430,3409,21,12,5,1,3,2081,2079,2,2,0,0,0,1559,1555,4,1,0,3,0,1850,1842,8,4,4,0,0,1303,1294,9,2,4,1,2,174,170,4,4,0,0,0,1260,1250,10,8,2,0,0,457,90,367,233,99,33,2,131,77,54,40,9,3,2,2411,81,2330,475,907,756,192,1899,48,1851,361,710,623,157,127,12,115,25,47,38,5,385,21,364,89,150,95,30,182,31,151,47,53,39,12,139,16,123,42,42,32,7,13,2,11,1,1,7,2,30,13,17,4,10,0,3,1492,754,738,344,282,91,21,714,582,132,74,44,12,2
UKN05,393311,376695,16616,4770,6341,4539,966,378084,375318,2766,1491,765,362,148,15227,1377,13850,3279,5576,4177,818,106524,106053,471,189,156,94,32,149415,148378,1037,833,141,33,30,92843,92641,202,101,62,18,21,12877,12851,26,12,7,6,1,5514,5496,18,12,5,1,0,2175,2168,7,3,1,1,2,1931,1921,10,7,2,0,1,2147,2130,17,8,5,3,1,1089,1077,12,9,2,1,0,207,199,8,6,2,0,0,1324,1315,9,4,3,2,0,1495,151,1344,484,470,324,66,342,156,186,71,65,33,17,11869,364,11505,2404,4733,3656,712,5390,121,5269,1103,2180,1626,360,3836,133,3703,722,1537,1233,211,2643,110,2533,579,1016,797,141,634,98,536,133,217,147,39,283,37,246,68,104,56,18,210,29,181,37,79,50,15,141,32,109,28,34,41,6,1863,862,1001,391,373,197,40,1062,835,227,103,97,23,4
95AA,51042,49238,1804,590,681,454,79,49284,48927,357,200,89,46,22,1758,311,1447,390,592,408,57,23483,23301,182,82,62,28,10,8721,8635,86,74,8,2,2,10958,10946,12,4,4,0,4,3396,3391,5,4,0,0,1,437,437,0,0,0,0,0,560,560,0,0,0,0,0,367,367,0,0,0,0,0,427,425,2,0,1,1,0,250,248,2,2,0,0,0,51,49,2,2,0,0,0,444,444,0,0,0,0,0,98,21,77,41,16,14,6,31,19,12,10,1,0,1,1203,41,1162,233,510,369,50,572,17,555,102,259,175,19,281,10,271,33,106,109,23,350,14,336,98,145,85,8,36,5,31,7,9,12,3,21,5,16,5,7,3,1,9,0,9,1,1,5,2,6,0,6,1,1,4,0,457,249,208,116,66,25,1,123,100,23,15,4,3,1
95BB,75313,74323,990,385,336,217,52,74438,74090,348,151,117,58,22,875,233,642,234,219,159,30,44860,44662,198,76,76,32,14,3725,3717,8,7,0,1,0,13902,13880,22,8,5,3,6,8430,8407,23,13,7,2,1,292,292,0,0,0,0,0,989,986,3,1,0,2,0,535,535,0,0,0,0,0,478,473,5,4,0,1,0,319,318,1,1,0,0,0,74,73,1,1,0,0,0,573,570,3,2,1,0,0,111,43,68,51,14,3,0,23,19,4,4,0,0,0,441,28,413,104,153,134,22,147,6,141,35,61,44,1,149,11,138,27,48,48,15,145,11,134,42,44,42,6,50,7,43,14,17,11,1,29,4,25,6,12,6,1,8,0,8,2,2,4,0,13,3,10,6,3,1,0,323,162,161,79,52,22,8,188,151,37,20,11,6,0
95CC,56792,54716,2076,592,756,600,128,54888,54503,385,188,120,51,26,1904,213,1691,404,636,549,102,21501,21432,69,25,25,15,4,16925,16801,124,96,23,2,3,11471,11435,36,16,9,4,7,2903,2894,9,6,2,1,0,521,520,1,1,0,0,0,369,369,0,0,0,0,0,264,263,1,1,0,0,0,278,271,7,3,4,0,0,138,138,0,0,0,0,0,36,34,2,1,1,0,0,207,205,2,2,0,0,0,79,27,52,39,4,9,0,43,30,13,9,2,1,1,1577,57,1520,315,589,521,95,514,12,502,104,177,174,47,655,28,627,120,250,223,34,408,17,391,91,162,124,14,99,12,87,14,40,22,11,26,5,21,3,11,2,5,60,6,54,10,24,14,6,13,1,12,1,5,6,0,248,129,119,50,43,19,7,133,99,34,14,14,6,0
95DD,61601,59509,2092,516,844,573,159,59560,59296,264,119,82,43,20,2041,213,1828,397,762,530,139,35832,35718,114,42,34,24,14,5381,5360,21,18,3,0,0,10509,10485,24,12,8,3,1,5493,5480,13,5,5,1,2,349,349,0,0,0,0,0,584,583,1,1,0,0,0,335,335,0,0,0,0,0,286,284,2,0,1,0,1,237,236,1,0,1,0,0,22,21,1,1,0,0,0,301,300,1,0,1,0,0,69,15,54,34,12,7,1,22,16,6,5,0,1,0,1675,29,1646,313,685,512,136,883,17,866,133,343,292,98,50,3,47,5,22,12,8,742,9,733,175,320,208,30,64,9,55,19,22,12,2,42,6,36,13,15,6,2,0,0,0,0,0,0,0,22,3,19,6,7,6,0,297,169,128,50,65,11,2,145,120,25,16,7,2,0
95EE,29937,29495,442,126,144,136,36,29533,29423,110,52,32,15,11,404,72,332,74,112,121,25,15415,15381,34,7,17,8,2,4225,4205,20,15,4,0,1,6504,6496,8,5,1,1,1,2152,2143,9,6,1,0,2,239,238,1,1,0,0,0,234,234,0,0,0,0,0,163,162,1,0,0,1,0,218,218,0,0,0,0,0,114,111,3,1,0,0,2,25,25,0,0,0,0,0,159,159,0,0,0,0,0,20,1,19,10,3,6,0,4,0,4,4,0,0,0,301,13,288,50,102,111,25,236,10,226,35,72,96,23,6,0,6,2,2,1,1,59,3,56,13,28,14,1,24,2,22,7,8,5,2,24,2,22,7,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,58,25,14,7,4,0,57,49,8,6,1,0,1
95FF,46112,45397,715,266,264,153,32,45444,45258,186,96,57,24,9,668,139,529,170,207,129,23,23694,23625,69,38,15,13,3,6087,6046,41,30,9,2,0,10151,10135,16,5,7,2,2,3503,3496,7,3,2,2,0,311,311,0,0,0,0,0,519,519,0,0,0,0,0,318,318,0,0,0,0,0,277,277,0,0,0,0,0,158,155,3,1,1,0,1,31,31,0,0,0,0,0,241,236,5,0,3,1,1,52,21,31,28,3,0,0,14,5,9,6,3,0,0,446,14,432,104,190,116,22,304,10,294,55,145,79,15,78,0,78,24,26,21,7,64,4,60,25,19,16,0,19,1,18,4,11,2,1,11,1,10,3,5,2,0,6,0,6,0,5,0,1,2,0,2,1,1,0,0,170,104,66,38,14,13,1,121,103,18,9,6,2,1
95GG,269804,256904,12900,6083,4427,1944,446,258082,254215,3867,2573,812,345,137,11722,2689,9033,3510,3615,1599,309,95017,93791,1226,582,360,202,82,83552,81881,1671,1453,162,28,28,50511,50346,165,108,35,14,8,14392,14373,19,11,5,2,1,3342,3325,17,13,3,0,1,3306,3300,6,3,2,1,0,2069,2059,10,9,0,1,0,1453,1435,18,8,7,2,1,1028,1014,14,13,1,0,0,158,149,9,7,2,0,0,1480,1469,11,5,4,1,1,1249,216,1033,740,250,39,4,244,127,117,79,35,3,0,5044,203,4841,1371,2176,1106,188,3603,124,3479,907,1601,812,159,230,13,217,91,77,43,6,1211,66,1145,373,498,251,23,283,44,239,93,88,50,8,168,25,143,43,63,31,6,18,2,16,3,5,8,0,97,17,80,47,20,11,2,5429,2270,3159,1399,1189,454,117,1247,902,345,189,108,41,7
95HH,37739,37226,513,220,183,84,26,37226,37075,151,74,40,17,20,513,151,362,146,143,67,6,23626,23547,79,33,22,14,10,1181,1174,7,5,0,0,2,6420,6407,13,4,4,1,4,4297,4291,6,3,2,1,0,120,120,0,0,0,0,0,427,427,0,0,0,0,0,232,230,2,2,0,0,0,266,265,1,1,0,0,0,211,206,5,2,0,0,3,34,34,0,0,0,0,0,262,262,0,0,0,0,0,75,17,58,44,12,2,0,18,14,4,3,0,0,1,213,8,205,55,92,53,5,147,5,142,30,66,42,4,16,0,16,7,7,2,0,50,3,47,18,19,9,1,19,8,11,8,3,0,0,17,8,9,7,2,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,225,126,99,47,39,12,1,113,90,23,13,9,1,0
95II,64756,63223,1533,793,474,231,35,63406,62808,598,360,137,88,13,1350,415,935,433,337,143,22,34676,34282,394,214,93,76,11,7011,6953,58,46,9,2,1,12002,11980,22,6,10,5,1,6277,6259,18,15,2,1,0,602,599,3,1,2,0,0,1044,1044,0,0,0,0,0,519,515,4,2,1,1,0,306,305,1,1,0,0,0,217,217,0,0,0,0,0,40,38,2,2,0,0,0,405,405,0,0,0,0,0,148,38,110,88,16,6,0,32,16,16,15,1,0,0,495,21,474,147,220,92,15,363,14,349,109,166,65,9,44,3,41,8,19,14,0,88,4,84,30,35,13,6,27,4,23,14,8,1,0,16,3,13,6,6,1,0,1,1,0,0,0,0,0,10,0,10,8,2,0,0,707,356,351,198,101,45,7,248,191,57,44,11,2,0
95JJ,56990,55434,1556,532,564,359,101,55506,55180,326,185,87,35,19,1484,254,1230,347,477,324,82,29425,29302,123,57,34,19,13,6491,6414,77,63,11,3,0,11919,11902,17,10,4,1,2,4717,4711,6,2,3,1,0,430,426,4,3,1,0,0,721,721,0,0,0,0,0,386,386,0,0,0,0,0,426,425,1,1,0,0,0,302,300,2,1,0,1,0,43,42,1,1,0,0,0,387,385,2,1,1,0,0,118,28,90,75,13,0,2,32,20,12,10,2,0,0,945,22,923,190,377,284,72,820,18,802,149,331,256,66,20,1,19,7,5,5,2,105,3,102,34,41,23,4,45,7,38,15,13,7,3,35,4,31,14,9,7,1,0,0,0,0,0,0,0,10,3,7,1,4,0,2,421,204,217,82,87,40,8,182,139,43,21,18,3,1
