GeographyCode,DC2239NI0001,DC2239NI0002,DC2239NI0003,DC2239NI0004,DC2239NI0005,DC2239NI0006,DC2239NI0007,DC2239NI0008,DC2239NI0009,DC2239NI0010,DC2239NI0011,DC2239NI0012,DC2239NI0013,DC2239NI0014,DC2239NI0015,DC2239NI0016,DC2239NI0017,DC2239NI0018,DC2239NI0019,DC2239NI0020,DC2239NI0021,DC2239NI0022,DC2239NI0023,DC2239NI0024,DC2239NI0025,DC2239NI0026,DC2239NI0027,DC2239NI0028,DC2239NI0029,DC2239NI0030,DC2239NI0031,DC2239NI0032,DC2239NI0033,DC2239NI0034,DC2239NI0035,DC2239NI0036,DC2239NI0037,DC2239NI0038,DC2239NI0039,DC2239NI0040,DC2239NI0041,DC2239NI0042,DC2239NI0043,DC2239NI0044,DC2239NI0045,DC2239NI0046,DC2239NI0047,DC2239NI0048,DC2239NI0049,DC2239NI0050,DC2239NI0051,DC2239NI0052,DC2239NI0053,DC2239NI0054,DC2239NI0055,DC2239NI0056,DC2239NI0057,DC2239NI0058,DC2239NI0059,DC2239NI0060,DC2239NI0061,DC2239NI0062,DC2239NI0063,DC2239NI0064,DC2239NI0065,DC2239NI0066,DC2239NI0067,DC2239NI0068,DC2239NI0069,DC2239NI0070,DC2239NI0071,DC2239NI0072,DC2239NI0073,DC2239NI0074,DC2239NI0075,DC2239NI0076,DC2239NI0077,DC2239NI0078,DC2239NI0079,DC2239NI0080,DC2239NI0081,DC2239NI0082,DC2239NI0083,DC2239NI0084,DC2239NI0085,DC2239NI0086,DC2239NI0087,DC2239NI0088,DC2239NI0089,DC2239NI0090,DC2239NI0091,DC2239NI0092,DC2239NI0093,DC2239NI0094,DC2239NI0095,DC2239NI0096,DC2239NI0097,DC2239NI0098,DC2239NI0099,DC2239NI0100,DC2239NI0101,DC2239NI0102,DC2239NI0103,DC2239NI0104,DC2239NI0105,DC2239NI0106,DC2239NI0107,DC2239NI0108,DC2239NI0109,DC2239NI0110,DC2239NI0111,DC2239NI0112,DC2239NI0113,DC2239NI0114,DC2239NI0115,DC2239NI0116,DC2239NI0117,DC2239NI0118,DC2239NI0119,DC2239NI0120,DC2239NI0121,DC2239NI0122,DC2239NI0123,DC2239NI0124,DC2239NI0125,DC2239NI0126,DC2239NI0127,DC2239NI0128,DC2239NI0129,DC2239NI0130
WELB,294417,182996,78619,29353,37154,4900,7212,1475,12199,19128,90547,17105,62285,23865,29569,3943,4908,610,4736,5811,128972,112804,4155,1304,1890,230,731,294,3343,8376,84536,55618,19372,7410,9166,1224,1572,229,3715,5602,2650,979,808,124,254,54,376,44,618,201,1356,623,311,104,73,13,121,9,302,111,223,66,66,17,17,3,29,2,70,19,651,318,90,1,24,0,65,10,189,44,3895,2949,235,6,10,1,218,38,448,225,2356,2086,52,1,8,0,43,10,107,101,599,418,35,2,1,0,32,6,92,48,940,445,148,3,1,1,143,22,249,76,2195,888,392,65,48,16,263,397,403,115
UKN01,280962,117712,95919,40463,32035,10334,13087,4258,37239,25834,121272,13447,77085,33397,26071,8516,9101,1572,17870,11298,97682,76410,4530,1603,1546,433,948,479,7543,8720,75356,28987,25723,10898,8594,2663,3568,572,12877,7197,2538,477,782,178,151,47,406,63,987,229,1474,250,522,164,98,18,242,21,507,174,282,39,91,19,20,5,47,6,114,32,1540,410,208,31,16,3,158,61,697,164,5709,3599,346,10,4,4,328,70,1212,482,4073,3103,118,8,2,1,107,53,513,286,262,152,9,0,0,0,9,3,81,17,1374,344,219,2,2,3,212,14,618,179,7043,1338,1152,159,110,66,817,1906,2161,486
UKN02,390597,81243,219255,98142,66825,22110,32178,3757,62670,23672,254009,17383,179590,81797,54465,18341,24987,2192,39842,15002,60203,41731,8223,3121,2693,753,1656,392,6030,3827,119890,25257,63035,27977,19633,6304,9121,759,23461,7378,4735,521,2112,344,462,127,1179,67,1738,297,2490,249,1151,416,175,61,499,36,913,141,496,32,218,41,48,15,114,9,206,31,1042,317,218,22,34,14,148,27,426,54,3471,2328,299,28,16,1,254,25,667,152,2351,1875,87,16,7,0,64,8,283,98,444,287,21,4,0,0,17,4,114,18,676,166,191,8,9,1,173,13,270,36,4686,1099,1347,263,189,95,800,759,1282,199
UKN03,438823,142092,218755,112743,61428,12451,32133,3305,48312,26359,256103,28890,180979,95029,50511,10343,25096,2026,29160,15048,81060,64409,6747,2916,2173,361,1297,358,4815,4731,134976,50049,58858,30202,16711,3429,8516,710,17168,8191,4735,771,1998,395,438,88,1077,57,1623,286,2351,412,978,381,141,24,432,32,764,165,456,70,175,42,39,11,83,9,166,36,1626,746,187,33,29,9,116,13,580,100,8972,6103,617,32,18,9,558,43,1493,716,4945,4171,59,5,9,1,44,9,364,342,1826,1231,56,11,5,2,38,7,348,184,2201,701,502,16,4,6,476,27,781,190,3683,1015,1098,260,156,78,604,516,883,171
UKN04,288597,148769,101454,52269,36270,2603,10312,1664,17621,19089,115216,17066,81281,43113,28804,2065,7299,757,8758,7354,105185,89821,4402,1798,1582,153,869,277,3551,7134,83284,44812,26719,13599,9691,680,2749,298,5850,5605,2777,765,968,217,260,43,448,57,795,192,1670,624,507,192,93,12,210,14,412,113,264,50,103,29,27,2,45,4,90,17,609,268,76,4,13,0,59,16,213,36,2829,2226,159,10,12,1,136,21,250,173,2245,1966,40,2,10,0,28,5,130,104,149,98,6,1,0,0,5,3,23,19,435,162,113,7,2,1,103,13,97,50,2305,711,537,117,66,13,341,425,518,114
UKN05,411884,248217,117172,41484,52263,6755,16670,1875,17322,27298,129977,18372,94790,34440,42248,5433,12669,898,6760,9157,169260,149681,5099,1436,2313,297,1053,330,3783,10367,119579,77435,28378,10150,12987,1758,3483,340,5144,8282,3256,1283,985,206,328,59,392,32,707,249,1389,548,336,92,83,18,143,17,364,124,274,88,69,14,27,3,25,4,87,26,1895,1154,160,17,34,1,108,30,405,146,13436,10100,675,14,37,5,619,87,1567,1007,6156,5352,93,4,8,1,80,19,253,439,4336,3512,121,3,17,0,101,12,407,284,2944,1236,461,7,12,4,438,56,907,284,3038,1369,608,111,108,14,375,330,566,165
95AA,53428,20050,23101,13343,5958,765,3035,446,6515,3316,29509,4471,18965,11260,4805,630,2270,261,3923,1889,10746,8916,657,337,194,18,108,36,537,600,16218,6845,6140,3414,1771,235,720,76,2123,1034,807,113,331,44,35,12,240,9,310,44,340,68,134,41,11,2,80,2,119,17,71,9,25,2,2,0,21,2,32,3,134,56,16,2,1,0,13,1,46,15,1337,925,64,6,2,1,55,11,249,88,654,544,8,3,2,0,3,0,57,45,310,234,12,0,0,0,12,3,45,16,373,147,44,3,0,1,40,8,147,27,605,211,149,28,22,8,91,104,123,18
95BB,78078,8521,51102,28715,12390,3524,6473,760,13175,4520,57480,2824,41953,23894,10073,2886,5100,521,8978,3204,5873,2770,1680,785,511,117,267,58,963,402,24900,3224,14987,8477,3532,1050,1928,188,4995,1506,912,56,431,96,94,23,218,19,355,51,465,45,213,102,32,8,71,12,168,27,109,8,42,12,11,0,19,1,50,8,137,30,41,9,4,6,22,2,59,5,510,302,36,9,1,0,26,2,150,20,186,155,0,0,0,0,0,0,27,4,163,112,8,6,1,0,1,0,35,8,161,35,28,3,0,0,25,2,88,8,533,76,187,74,15,11,87,84,165,21
95CC,59340,26563,25528,9717,10485,1413,3913,307,3141,3801,26358,1810,21112,8138,8682,1143,3149,182,1486,1768,19197,16707,856,322,336,52,146,39,520,1075,16089,7624,6372,2437,2683,396,856,67,899,1127,435,121,179,42,58,9,70,2,106,27,194,56,58,19,13,5,21,4,61,15,52,14,17,7,6,1,3,1,16,4,125,32,31,8,9,1,13,3,49,10,1799,1260,124,2,7,0,115,13,265,137,592,505,10,1,2,0,7,1,38,38,760,643,12,1,2,0,9,4,56,45,447,112,102,0,3,0,99,8,171,54,399,128,118,35,18,4,61,27,101,25
95DD,64044,13071,40531,26073,6856,1375,6227,492,5946,4004,44165,3096,34299,22474,5707,1155,4963,331,3767,2672,7105,5204,990,586,199,28,177,39,447,425,17891,4571,10149,6528,1787,357,1477,81,1992,1098,490,53,242,66,61,6,109,5,148,42,343,52,168,89,11,0,68,4,92,27,41,4,20,10,4,0,6,2,10,5,94,17,27,4,5,0,18,2,45,3,1854,1139,281,3,0,1,277,11,253,170,999,888,5,0,0,1,4,0,46,60,53,20,0,0,0,0,0,0,9,24,802,231,276,3,0,0,273,11,198,86,466,104,176,61,18,8,89,64,98,24
95EE,31224,9252,17717,10897,3974,202,2644,173,2519,1563,18907,1667,14531,9080,3163,170,2118,109,1638,962,5126,4179,480,222,105,6,147,18,216,233,9652,3623,4723,2868,1108,45,702,49,790,467,341,40,149,41,32,6,70,10,124,18,166,27,81,32,7,0,42,1,54,3,32,1,22,8,7,0,7,1,8,0,28,8,3,1,0,0,2,0,15,2,351,280,25,4,0,0,21,0,30,16,282,259,4,0,0,0,4,0,10,9,6,6,0,0,0,0,0,0,0,0,63,15,21,4,0,0,17,0,20,7,146,25,80,23,9,0,48,12,23,6
95FF,48339,14235,26715,13623,8060,888,4144,321,4657,2411,29559,3142,22046,11428,6551,727,3340,194,2732,1445,7815,5998,906,365,315,36,190,38,491,382,15382,5601,7117,3574,2236,218,1089,87,1786,791,463,97,195,55,53,3,84,4,143,24,219,35,98,26,22,7,43,4,73,9,52,10,22,7,6,1,8,0,16,4,70,24,13,4,4,0,5,0,29,4,506,377,31,1,1,4,25,2,61,35,339,283,5,1,1,0,3,0,25,26,93,81,2,0,0,0,2,2,8,0,74,13,24,0,0,4,20,0,28,9,304,69,119,22,18,15,64,32,75,9
95GG,280962,117712,95919,40463,32035,10334,13087,4258,37239,25834,121272,13447,77085,33397,26071,8516,9101,1572,17870,11298,97682,76410,4530,1603,1546,433,948,479,7543,8720,75356,28987,25723,10898,8594,2663,3568,572,12877,7197,2538,477,782,178,151,47,406,63,987,229,1474,250,522,164,98,18,242,21,507,174,282,39,91,19,20,5,47,6,114,32,1540,410,208,31,16,3,158,61,697,164,5709,3599,346,10,4,4,328,70,1212,482,4073,3103,118,8,2,1,107,53,513,286,262,152,9,0,0,0,9,3,81,17,1374,344,219,2,2,3,212,14,618,179,7043,1338,1152,159,110,66,817,1906,2161,486
95HH,39114,2958,26284,11668,7423,3192,4001,319,7296,2257,29941,1194,21884,9937,6108,2686,3153,209,5034,1620,2090,711,728,261,214,75,178,36,415,200,11845,1068,7368,3112,2182,865,1209,76,2732,601,439,35,205,36,59,19,91,8,156,35,300,19,148,60,21,9,58,5,105,23,63,2,33,11,9,0,13,1,22,5,97,29,25,0,6,2,17,0,37,6,252,157,33,4,1,0,28,0,40,22,182,134,11,3,0,0,8,0,19,18,17,13,2,1,0,0,1,0,2,0,53,10,20,0,1,0,19,0,19,4,352,80,123,19,29,12,63,32,102,15
95II,67242,13101,38517,16922,11120,4319,6156,767,11002,3855,44511,2745,31999,14289,9206,3563,4941,430,6817,2520,9853,6719,1303,479,394,148,282,70,1205,556,21050,4475,10892,4643,3188,1317,1744,161,4232,1290,569,44,276,51,67,24,134,11,196,42,369,28,176,64,32,13,67,3,145,17,67,4,32,5,14,2,11,0,25,6,185,56,33,4,9,1,19,4,84,8,577,378,28,2,5,0,21,4,149,18,417,319,11,0,0,0,11,2,69,16,51,29,4,1,0,0,3,0,18,0,109,30,13,1,5,0,7,2,62,2,1004,263,271,51,31,6,183,177,257,36
95JJ,59067,14774,33524,16384,12540,835,3765,491,6575,3703,36854,3559,26931,13592,10011,634,2694,264,3767,2333,8559,5888,1291,513,474,66,238,68,809,503,18662,5413,9496,4492,3586,273,1145,114,2454,1185,694,85,294,79,83,14,118,15,255,45,425,77,186,70,37,5,74,5,133,24,70,3,28,6,7,1,14,3,30,6,157,34,26,1,4,0,21,9,82,6,1085,863,50,2,2,0,46,3,101,68,942,822,11,1,2,0,8,1,57,51,23,12,2,0,0,0,2,1,4,4,120,29,37,1,0,0,36,1,40,13,627,138,181,37,33,4,107,83,202,23
95KK,37013,20379,12568,4853,5473,469,1773,155,1592,2319,13796,1594,10516,4116,4576,371,1453,90,658,938,12417,11024,421,137,180,20,84,18,252,702,11890,7705,2908,1148,1313,123,324,34,477,766,287,112,83,26,26,3,28,4,60,28,131,51,35,5,9,1,20,1,32,12,16,8,5,2,1,0,2,0,1,2,281,182,13,4,5,0,4,1,70,15,846,588,39,2,5,0,32,5,158,56,268,233,5,0,2,0,3,1,16,13,144,116,3,0,0,0,3,0,11,14,434,239,31,2,3,0,26,4,131,29,227,79,57,4,19,0,34,24,56,11
95LL,93023,39138,39190,9731,18432,3989,7038,777,7876,6042,44887,4617,32849,8248,15579,3425,5597,451,4055,2915,23807,20332,1151,283,487,97,284,96,864,1364,26704,12332,9927,2568,4574,970,1815,130,2566,1749,793,175,341,44,102,27,168,7,208,62,397,84,130,31,34,3,62,3,138,42,71,10,31,4,8,8,11,1,21,8,970,542,55,4,10,0,41,7,302,64,3988,2829,151,11,10,3,127,17,636,355,2363,1937,37,1,6,0,30,9,192,188,1065,688,26,3,1,2,20,2,228,121,560,204,88,7,3,1,77,6,216,46,984,291,254,33,51,18,152,161,209,69
95MM,107877,72748,20959,9955,8394,810,1800,728,4885,8557,25560,5118,16434,8162,6597,643,1032,287,1609,2112,59367,51509,1419,532,516,52,319,143,1788,4508,26528,17553,5203,2438,2148,199,418,70,1492,2210,951,370,261,34,64,17,146,18,219,83,530,269,106,37,20,5,44,5,100,50,71,21,18,6,1,1,10,0,28,4,334,186,32,1,7,0,24,7,88,21,741,587,44,0,3,0,41,4,59,47,581,502,17,0,3,0,14,3,32,27,64,40,1,0,0,0,1,0,11,12,96,45,26,0,0,0,26,1,16,8,1039,336,175,36,9,8,122,265,200,63
95NN,69731,40068,18910,9300,5887,574,3149,346,6272,4135,28037,7994,14949,7621,4657,432,2239,169,3208,1717,22465,19084,865,310,337,25,193,73,1198,1245,23791,14833,5217,2456,1686,166,909,103,2231,1407,910,241,298,38,61,11,188,6,316,49,307,93,99,30,15,2,52,2,88,25,80,23,20,5,5,0,10,3,29,5,125,52,16,1,3,0,12,0,49,8,672,475,31,2,4,0,25,0,119,47,366,330,4,0,0,0,4,0,14,18,134,88,8,2,3,0,3,0,23,15,172,57,19,0,1,0,18,0,82,14,609,218,146,19,24,18,85,54,167,24
95OO,57852,33981,17238,5724,8141,920,2453,281,2242,4110,17866,1833,13901,4772,6562,776,1791,130,790,1212,22423,19728,743,185,365,35,158,36,361,1555,15669,9710,4075,1308,2038,222,507,55,655,1174,372,164,111,24,45,6,36,2,61,34,147,49,37,6,13,1,17,4,40,17,29,9,6,0,5,0,1,0,13,1,971,696,30,0,2,0,28,19,156,70,4010,3136,166,3,13,1,149,21,334,353,1494,1298,17,0,2,0,15,7,37,135,1904,1570,45,1,10,0,34,1,158,130,612,268,104,2,1,1,100,13,139,88,569,285,107,12,15,1,79,43,98,36
95PP,61805,33951,21186,1878,14228,2736,2344,328,3005,3335,22994,3722,16635,1449,11298,2192,1696,141,1251,1245,22300,19246,1181,140,725,131,185,73,663,1137,18252,11033,5237,524,3551,711,451,61,901,1020,793,269,258,18,97,26,117,10,203,53,234,81,61,7,22,5,27,1,73,18,43,11,15,0,7,2,6,2,13,2,173,86,28,0,13,0,15,1,46,12,1281,888,95,1,0,0,94,16,188,94,675,565,25,1,0,0,24,5,33,47,365,244,29,0,0,0,29,4,61,27,241,79,41,0,0,0,41,7,94,20,453,198,96,4,32,4,56,61,81,17
95QQ,32180,7009,19206,11958,3845,1336,2067,163,3871,1931,22466,2746,15918,10104,3139,1088,1587,99,2497,1206,3249,2105,498,250,130,40,78,18,315,313,10090,2643,5321,3185,1125,433,578,45,1475,606,360,36,160,52,32,6,70,7,143,14,280,35,136,62,16,2,56,5,86,18,32,6,15,2,3,2,8,0,8,3,96,25,19,9,2,3,5,1,50,1,105,56,23,0,0,0,23,0,25,1,38,34,0,0,0,0,0,0,3,1,8,8,0,0,0,0,0,0,0,0,59,14,23,0,0,0,23,0,22,0,182,46,67,23,8,0,36,17,46,6
95RR,33536,18784,11489,6123,4329,203,834,92,1615,1556,14163,3332,9296,5058,3530,161,547,42,837,656,10718,9545,413,176,177,9,51,10,247,503,10286,6461,2767,1487,1015,51,214,25,528,505,291,79,106,17,34,3,52,5,79,22,178,61,61,25,13,0,23,1,49,6,41,12,14,4,2,0,8,0,11,4,29,14,5,0,1,0,4,0,9,1,231,167,12,1,1,0,10,12,25,15,159,138,0,0,0,0,0,0,13,8,29,17,3,1,0,0,2,2,5,2,43,12,9,0,1,0,8,10,7,5,202,101,44,11,2,1,30,10,37,10
95SS,120165,39402,57606,22348,22000,4518,8740,926,14554,7677,66767,6268,47054,18565,18072,3709,6708,542,8833,4070,29630,23370,2457,890,895,184,488,106,1711,1986,34433,10838,15940,6271,6153,1287,2229,188,5126,2341,1547,226,675,76,138,26,435,20,538,88,750,104,326,88,52,9,177,10,261,49,158,10,69,7,4,3,55,0,69,10,305,122,64,6,11,0,47,7,98,14,1326,865,146,7,5,1,133,17,244,54,759,612,37,3,5,0,29,4,77,29,306,199,12,0,0,0,12,4,80,11,261,54,97,4,0,1,92,9,87,14,1234,343,417,67,74,30,246,148,262,64
95TT,45038,28088,12767,5526,4662,218,2361,179,1781,2223,14143,1766,10706,4755,3860,187,1904,118,788,765,19222,17551,497,151,180,13,153,17,340,817,13414,9243,2819,1185,1086,33,515,29,647,676,295,103,115,43,37,2,33,1,66,10,148,61,43,11,9,2,21,3,29,12,18,2,4,0,2,0,2,0,10,2,39,24,2,0,1,0,1,0,7,6,936,699,38,0,1,0,37,4,117,78,466,402,2,0,0,0,2,0,14,48,237,184,9,0,1,0,8,3,25,16,233,113,27,0,0,0,27,1,78,14,290,149,60,28,9,1,22,24,46,11
95UU,17050,9267,5514,2633,2393,36,452,73,1066,1130,6587,1320,4298,2111,1832,25,330,24,511,434,5814,4947,241,92,99,5,45,14,237,375,5477,3276,1490,701,691,12,86,21,298,392,201,58,53,7,19,1,26,4,72,14,149,64,33,13,7,0,13,2,39,11,20,2,9,1,5,0,3,0,8,1,31,16,4,1,0,0,3,0,9,2,86,63,5,1,1,0,3,1,5,12,56,48,1,1,0,0,0,1,4,2,15,13,0,0,0,0,0,0,1,1,15,2,4,0,1,0,3,0,0,9,124,36,30,5,11,0,14,18,34,6
95VV,99480,71686,15151,8666,3711,365,2409,405,3828,8410,20135,4784,11791,7124,2797,249,1621,128,1144,2288,52715,46674,817,308,266,23,220,103,1256,3865,27474,20035,3842,2200,1007,110,525,40,1059,2498,758,386,161,37,34,7,83,7,140,64,343,164,59,24,8,3,24,2,86,32,78,33,15,2,4,0,9,1,21,8,221,112,37,5,2,0,30,4,41,27,3257,2488,152,4,10,4,134,23,359,235,1945,1665,31,2,2,1,26,3,100,146,797,648,21,0,3,0,18,0,83,45,515,175,100,2,5,3,90,20,176,44,766,352,120,19,12,1,88,127,121,46
