GeographyCode,DC2104NI0001,DC2104NI0002,DC2104NI0003,DC2104NI0004,DC2104NI0005,DC2104NI0006,DC2104NI0007,DC2104NI0008,DC2104NI0009,DC2104NI0010,DC2104NI0011,DC2104NI0012,DC2104NI0013,DC2104NI0014,DC2104NI0015,DC2104NI0016,DC2104NI0017,DC2104NI0018,DC2104NI0019,DC2104NI0020,DC2104NI0021,DC2104NI0022,DC2104NI0023,DC2104NI0024,DC2104NI0025,DC2104NI0026,DC2104NI0027,DC2104NI0028,DC2104NI0029,DC2104NI0030,DC2104NI0031,DC2104NI0032,DC2104NI0033,DC2104NI0034,DC2104NI0035,DC2104NI0036,DC2104NI0037,DC2104NI0038,DC2104NI0039,DC2104NI0040,DC2104NI0041,DC2104NI0042,DC2104NI0043,DC2104NI0044,DC2104NI0045,DC2104NI0046,DC2104NI0047,DC2104NI0048,DC2104NI0049,DC2104NI0050,DC2104NI0051,DC2104NI0052,DC2104NI0053,DC2104NI0054,DC2104NI0055,DC2104NI0056,DC2104NI0057,DC2104NI0058,DC2104NI0059,DC2104NI0060,DC2104NI0061,DC2104NI0062,DC2104NI0063,DC2104NI0064,DC2104NI0065,DC2104NI0066,DC2104NI0067,DC2104NI0068,DC2104NI0069,DC2104NI0070,DC2104NI0071,DC2104NI0072,DC2104NI0073,DC2104NI0074,DC2104NI0075,DC2104NI0076,DC2104NI0077,DC2104NI0078,DC2104NI0079,DC2104NI0080,DC2104NI0081,DC2104NI0082,DC2104NI0083,DC2104NI0084,DC2104NI0085,DC2104NI0086,DC2104NI0087,DC2104NI0088,DC2104NI0089,DC2104NI0090,DC2104NI0091,DC2104NI0092,DC2104NI0093,DC2104NI0094,DC2104NI0095,DC2104NI0096,DC2104NI0097,DC2104NI0098,DC2104NI0099,DC2104NI0100,DC2104NI0101,DC2104NI0102,DC2104NI0103,DC2104NI0104,DC2104NI0105,DC2104NI0106,DC2104NI0107,DC2104NI0108,DC2104NI0109,DC2104NI0110,DC2104NI0111,DC2104NI0112,DC2104NI0113,DC2104NI0114,DC2104NI0115,DC2104NI0116,DC2104NI0117,DC2104NI0118,DC2104NI0119,DC2104NI0120,DC2104NI0121,DC2104NI0122,DC2104NI0123,DC2104NI0124,DC2104NI0125,DC2104NI0126,DC2104NI0127,DC2104NI0128,DC2104NI0129,DC2104NI0130,DC2104NI0131,DC2104NI0132,DC2104NI0133,DC2104NI0134,DC2104NI0135,DC2104NI0136,DC2104NI0137,DC2104NI0138,DC2104NI0139,DC2104NI0140,DC2104NI0141,DC2104NI0142,DC2104NI0143,DC2104NI0144,DC2104NI0145,DC2104NI0146,DC2104NI0147,DC2104NI0148,DC2104NI0149,DC2104NI0150,DC2104NI0151,DC2104NI0152,DC2104NI0153,DC2104NI0154,DC2104NI0155,DC2104NI0156,DC2104NI0157,DC2104NI0158,DC2104NI0159,DC2104NI0160
WELB,225842,223736,223582,154,1382,361,611,73,11,326,183,53,83,47,315,226,114556,113264,113208,56,978,220,459,43,8,248,87,29,40,18,112,115,103254,102089,102042,47,913,193,440,40,7,233,59,21,27,11,95,98,11302,11175,11166,9,65,27,19,3,1,15,28,8,13,7,17,17,111286,110472,110374,98,404,141,152,30,3,78,96,24,43,29,203,111,77534,76992,76945,47,246,81,98,24,2,41,62,17,28,17,162,72,2714,2622,2614,8,72,34,17,2,0,19,2,0,2,0,14,4,8303,8248,8222,26,26,8,13,1,1,3,7,2,4,1,12,10,9319,9243,9238,5,34,13,9,2,0,10,16,4,2,10,8,18,13416,13367,13355,12,26,5,15,1,0,5,9,1,7,1,7,7
UKN01,224006,216964,216832,132,4971,1719,1626,153,131,1342,917,78,758,81,680,474,92136,88312,88288,24,2948,828,1105,84,71,860,399,44,324,31,264,213,75410,72167,72152,15,2623,633,1046,80,68,796,286,28,238,20,179,155,16726,16145,16136,9,325,195,59,4,3,64,113,16,86,11,85,58,131870,128652,128544,108,2023,891,521,69,60,482,518,34,434,50,416,261,90726,88418,88358,60,1467,685,365,40,27,350,309,26,252,31,353,179,2602,2195,2191,4,313,99,112,13,22,67,65,2,61,2,15,14,10773,10552,10527,25,91,33,15,9,5,29,89,4,76,9,17,24,12050,11875,11868,7,78,33,19,5,4,17,41,1,33,7,21,35,15719,15612,15600,12,74,41,10,2,2,19,14,1,12,1,10,9
UKN02,305528,300625,300562,63,3431,1265,996,234,69,867,488,71,329,88,648,336,176662,173407,173384,23,2440,784,817,155,46,638,314,44,216,54,284,217,155730,152761,152747,14,2272,695,797,146,41,593,273,35,189,49,222,202,20932,20646,20637,9,168,89,20,9,5,45,41,9,27,5,62,15,128866,127218,127178,40,991,481,179,79,23,229,174,27,113,34,364,119,81516,80362,80341,21,674,362,118,48,12,134,91,15,56,20,315,74,2711,2529,2529,0,140,54,23,7,6,50,30,0,28,2,5,7,9842,9718,9710,8,58,19,10,9,3,17,35,8,16,11,22,9,14880,14771,14768,3,66,30,13,8,2,13,12,2,9,1,14,17,19917,19838,19830,8,53,16,15,7,0,15,6,2,4,0,8,12
UKN03,342075,338214,338077,137,2467,839,656,210,116,646,487,65,288,134,566,341,196867,194438,194393,45,1682,481,522,121,84,474,306,50,183,73,237,204,174626,172442,172405,37,1573,421,506,117,82,447,253,46,147,60,183,175,22241,21996,21988,8,109,60,16,4,2,27,53,4,36,13,54,29,145208,143776,143684,92,785,358,134,89,32,172,181,15,105,61,329,137,95180,94172,94117,55,519,239,89,60,18,113,117,8,62,47,282,90,3150,2998,2996,2,109,49,15,11,12,22,23,0,18,5,11,9,10673,10590,10568,22,41,19,6,2,2,12,21,1,14,6,12,9,15442,15321,15313,8,71,31,11,14,0,15,13,5,6,2,16,21,20763,20695,20690,5,45,20,13,2,0,10,7,1,5,1,8,8
UKN04,222904,220626,220536,90,1466,464,630,62,13,297,215,57,109,49,382,215,113859,112490,112461,29,1002,273,462,35,9,223,104,31,54,19,153,110,101908,100689,100665,24,921,242,427,34,9,209,83,26,42,15,126,89,11951,11801,11796,5,81,31,35,1,0,14,21,5,12,4,27,21,109045,108136,108075,61,464,191,168,27,4,74,111,26,55,30,229,105,74665,74050,74024,26,284,121,102,19,2,40,75,18,38,19,193,63,2621,2515,2507,8,86,42,25,4,0,15,5,1,4,0,10,5,8177,8122,8109,13,26,8,11,0,1,6,10,2,6,2,10,9,10319,10239,10237,2,34,12,12,2,1,7,13,4,1,8,10,23,13263,13210,13198,12,34,8,18,2,0,6,8,1,6,1,6,5
UKN05,314855,312091,311756,335,1480,511,478,90,22,379,467,35,192,240,379,438,170723,169185,169084,101,981,305,353,48,15,260,193,22,87,84,157,207,155136,153808,153725,83,914,281,340,44,12,237,129,19,59,51,119,166,15587,15377,15359,18,67,24,13,4,3,23,64,3,28,33,38,41,144132,142906,142672,234,499,206,125,42,7,119,274,13,105,156,222,231,101491,100697,100577,120,317,127,88,27,3,72,154,5,54,95,167,156,4068,3865,3858,7,96,48,12,3,4,29,66,3,22,41,20,21,8768,8689,8607,82,18,8,6,2,0,2,26,1,11,14,19,16,10910,10818,10804,14,41,15,8,9,0,9,20,3,12,5,8,23,18895,18837,18826,11,27,8,11,1,0,7,8,1,6,1,8,15
95AA,40598,39869,39858,11,515,129,246,34,2,104,90,19,58,13,96,28,23715,23208,23207,1,375,75,201,20,1,78,72,17,45,10,38,22,20924,20459,20459,0,352,65,197,17,1,72,64,17,40,7,28,21,2791,2749,2748,1,23,10,4,3,0,6,8,0,5,3,10,1,16883,16661,16651,10,140,54,45,14,1,26,18,2,13,3,58,6,11247,11099,11093,6,87,33,26,9,1,18,10,1,7,2,48,3,369,341,341,0,23,11,6,1,0,5,5,0,5,0,0,0,1357,1344,1342,2,8,2,4,1,0,1,2,0,1,1,2,1,1745,1726,1724,2,11,4,3,2,0,2,1,1,0,0,6,1,2165,2151,2151,0,11,4,6,1,0,0,0,0,0,0,2,1
95BB,62222,61695,61684,11,354,127,48,9,78,92,35,2,22,11,87,51,37586,37239,37235,4,248,78,35,4,57,74,25,1,15,9,37,37,33530,33213,33210,3,238,70,35,4,57,72,21,1,13,7,30,28,4056,4026,4025,1,10,8,0,0,0,2,4,0,2,2,7,9,24636,24456,24449,7,106,49,13,5,21,18,10,1,7,2,50,14,15267,15145,15140,5,61,28,10,3,13,7,6,0,5,1,45,10,518,502,502,0,14,3,1,0,7,3,0,0,0,0,2,0,1755,1743,1742,1,10,5,0,0,1,4,1,1,0,0,1,0,3080,3057,3057,0,18,11,1,2,0,4,1,0,0,1,1,3,4016,4009,4008,1,3,2,1,0,0,0,2,0,2,0,1,1
95CC,45501,45214,45169,45,198,81,73,10,3,31,12,4,5,3,41,36,25358,25160,25142,18,147,56,57,5,2,27,9,3,3,3,21,21,23100,22920,22903,17,139,52,56,5,2,24,7,3,3,1,17,17,2258,2240,2239,1,8,4,1,0,0,3,2,0,0,2,4,4,20143,20054,20027,27,51,25,16,5,1,4,3,1,2,0,20,15,13839,13779,13766,13,32,16,12,3,0,1,1,0,1,0,15,12,516,505,505,0,11,8,1,0,1,1,0,0,0,0,0,0,1305,1298,1285,13,3,0,2,0,0,1,1,0,1,0,2,1,1605,1601,1601,0,2,0,0,2,0,0,1,1,0,0,0,1,2878,2871,2870,1,3,1,1,0,0,1,0,0,0,0,3,1
95DD,50553,50122,50062,60,302,102,69,36,5,90,34,3,26,5,40,55,29163,28919,28901,18,176,52,47,16,4,57,20,2,16,2,15,33,26186,25968,25951,17,163,45,46,16,4,52,18,2,14,2,9,28,2977,2951,2950,1,13,7,1,0,0,5,2,0,2,0,6,5,21390,21203,21161,42,126,50,22,20,1,33,14,1,10,3,25,22,14024,13896,13870,26,86,32,17,12,0,25,5,1,3,1,21,16,500,481,480,1,12,6,0,4,1,1,4,0,3,1,1,2,1537,1525,1515,10,8,5,1,1,0,1,2,0,2,0,1,1,2188,2170,2167,3,14,6,2,2,0,4,0,0,0,0,2,2,3141,3131,3129,2,6,1,2,1,0,2,3,0,2,1,0,1
95EE,24438,24318,24311,7,69,34,28,0,0,7,7,6,1,0,34,10,14169,14101,14097,4,40,17,19,0,0,4,6,5,1,0,19,3,12566,12507,12503,4,36,16,17,0,0,3,6,5,1,0,17,0,1603,1594,1594,0,4,1,2,0,0,1,0,0,0,0,2,3,10269,10217,10214,3,29,17,9,0,0,3,1,1,0,0,15,7,7013,6978,6975,3,17,10,4,0,0,3,1,1,0,0,12,5,281,272,272,0,8,6,2,0,0,0,0,0,0,0,1,0,563,562,562,0,1,1,0,0,0,0,0,0,0,0,0,0,972,969,969,0,0,0,0,0,0,0,0,0,0,0,2,1,1440,1436,1436,0,3,0,3,0,0,0,0,0,0,0,0,1
95FF,37233,36975,36970,5,153,63,24,12,5,49,18,7,7,4,44,43,22071,21914,21911,3,101,32,18,8,4,39,11,6,4,1,23,22,19788,19643,19640,3,93,28,16,8,4,37,9,6,2,1,21,22,2283,2271,2271,0,8,4,2,0,0,2,2,0,2,0,2,0,15162,15061,15059,2,52,31,6,4,1,10,7,1,3,3,21,21,10156,10085,10084,1,37,22,1,4,1,9,4,0,2,2,17,13,323,316,316,0,6,4,1,0,0,1,1,0,1,0,0,0,1017,1014,1014,0,2,1,1,0,0,0,1,0,0,1,0,0,1522,1510,1509,1,3,0,3,0,0,0,1,1,0,0,2,6,2144,2136,2136,0,4,4,0,0,0,0,0,0,0,0,2,2
95GG,224006,216964,216832,132,4971,1719,1626,153,131,1342,917,78,758,81,680,474,92136,88312,88288,24,2948,828,1105,84,71,860,399,44,324,31,264,213,75410,72167,72152,15,2623,633,1046,80,68,796,286,28,238,20,179,155,16726,16145,16136,9,325,195,59,4,3,64,113,16,86,11,85,58,131870,128652,128544,108,2023,891,521,69,60,482,518,34,434,50,416,261,90726,88418,88358,60,1467,685,365,40,27,350,309,26,252,31,353,179,2602,2195,2191,4,313,99,112,13,22,67,65,2,61,2,15,14,10773,10552,10527,25,91,33,15,9,5,29,89,4,76,9,17,24,12050,11875,11868,7,78,33,19,5,4,17,41,1,33,7,21,35,15719,15612,15600,12,74,41,10,2,2,19,14,1,12,1,10,9
95HH,31084,30773,30770,3,194,80,52,11,3,48,34,3,25,6,62,21,17906,17707,17706,1,145,49,45,10,3,38,18,2,14,2,21,15,15868,15686,15686,0,137,43,45,9,3,37,14,2,10,2,17,14,2038,2021,2020,1,8,6,0,1,0,1,4,0,4,0,4,1,13178,13066,13064,2,49,31,7,1,0,10,16,1,11,4,41,6,8088,8008,8007,1,30,20,3,1,0,6,11,0,7,4,36,3,211,201,201,0,5,3,0,0,0,2,4,0,4,0,1,0,1140,1136,1136,0,0,0,0,0,0,0,0,0,0,0,3,1,1631,1621,1621,0,8,5,2,0,0,1,0,0,0,0,1,1,2108,2100,2099,1,6,3,2,0,0,1,1,1,0,0,0,1
95II,53662,52382,52378,4,987,374,210,60,24,319,93,10,79,4,119,81,31172,30287,30285,2,718,249,174,41,17,237,63,8,54,1,53,51,27606,26778,26777,1,684,236,170,38,16,224,54,6,47,1,43,47,3566,3509,3508,1,34,13,4,3,1,13,9,2,7,0,10,4,22490,22095,22093,2,269,125,36,19,7,82,30,2,25,3,66,30,14174,13901,13900,1,186,92,27,12,4,51,13,0,13,0,55,19,466,422,422,0,38,17,2,3,2,14,3,0,3,0,1,2,1451,1419,1419,0,17,8,1,2,1,5,7,0,4,3,5,3,2520,2498,2497,1,10,2,3,0,0,5,5,1,4,0,4,3,3879,3855,3855,0,18,6,3,2,0,7,2,1,1,0,1,3
95JJ,46325,45747,45740,7,370,149,103,24,7,87,55,5,40,10,97,56,25392,25045,25044,1,238,87,75,12,5,59,28,2,20,6,46,35,22534,22224,22223,1,216,81,61,11,5,58,27,2,19,6,37,30,2858,2821,2821,0,22,6,14,1,0,1,1,0,1,0,9,5,20933,20702,20696,6,132,62,28,12,2,28,27,3,20,4,51,21,13713,13557,13554,3,85,46,14,8,1,16,18,1,14,3,46,7,582,555,555,0,20,9,5,2,0,4,4,1,3,0,1,2,1273,1260,1259,1,5,1,1,0,0,3,3,0,2,1,2,3,2362,2342,2342,0,10,3,4,1,1,1,0,0,0,0,2,8,3003,2988,2986,2,12,3,4,1,0,4,2,1,1,0,0,1
95KK,28427,28214,28209,5,119,78,17,9,0,15,70,6,43,21,15,9,15548,15434,15433,1,75,49,12,5,0,9,27,5,16,6,8,4,14198,14105,14104,1,69,46,12,4,0,7,14,5,6,3,7,3,1350,1329,1329,0,6,3,0,1,0,2,13,0,10,3,1,1,12879,12780,12776,4,44,29,5,4,0,6,43,1,27,15,7,5,9148,9084,9081,3,30,21,4,2,0,3,29,0,15,14,4,1,357,344,344,0,7,5,0,2,0,0,5,1,3,1,0,1,780,771,771,0,0,0,0,0,0,0,5,0,5,0,3,1,978,966,966,0,6,3,1,0,0,2,4,0,4,0,0,2,1616,1615,1614,1,1,0,0,0,0,1,0,0,0,0,0,0
95LL,71997,70704,70674,30,810,272,166,112,11,249,204,16,123,65,173,106,40075,39298,39287,11,554,158,138,71,8,179,105,10,69,26,64,54,34842,34157,34149,8,519,139,134,71,6,169,76,7,48,21,45,45,5233,5141,5138,3,35,19,4,0,2,10,29,3,21,5,19,9,31922,31406,31387,19,256,114,28,41,3,70,99,6,54,39,109,52,21019,20642,20632,10,179,81,21,30,1,46,74,3,40,31,92,32,680,618,618,0,40,18,4,6,2,10,8,0,4,4,7,7,2480,2454,2447,7,6,3,0,0,0,3,9,0,6,3,5,6,3442,3414,3414,0,15,6,1,5,0,3,6,2,3,1,3,4,4301,4278,4276,2,16,6,2,0,0,8,2,1,1,0,2,3
95MM,82296,81135,81087,48,766,190,405,34,6,131,130,42,58,30,170,95,37562,36865,36851,14,545,117,302,19,4,103,55,21,27,7,47,50,33564,32944,32933,11,499,98,286,19,4,92,41,17,18,6,41,39,3998,3921,3918,3,46,19,16,0,0,11,14,4,9,1,6,11,44734,44270,44236,34,221,73,103,15,2,28,75,21,31,23,123,45,30926,30610,30600,10,134,39,69,11,1,14,51,15,23,13,102,29,975,926,920,6,39,19,12,2,0,6,1,0,1,0,7,2,4107,4077,4068,9,14,4,7,0,1,2,5,2,2,1,7,4,4147,4102,4101,1,19,7,6,1,0,5,13,4,1,8,3,10,4579,4555,4547,8,15,4,9,1,0,1,5,0,4,1,4,0
95NN,53737,53240,53227,13,258,104,84,4,14,52,94,13,46,35,91,54,29693,29380,29377,3,176,61,65,2,10,38,66,10,31,25,37,34,26550,26269,26266,3,161,52,62,1,10,36,61,10,29,22,30,29,3143,3111,3111,0,15,9,3,1,0,2,5,0,2,3,7,5,24044,23860,23850,10,82,43,19,2,4,14,28,3,15,10,54,20,16356,16222,16216,6,55,31,14,0,2,8,16,3,4,9,48,15,564,548,547,1,10,5,3,0,1,1,5,0,5,0,1,0,1665,1651,1649,2,6,2,0,0,1,3,4,0,3,1,3,1,2218,2204,2203,1,6,2,0,2,0,2,3,0,3,0,1,4,3241,3235,3235,0,5,3,2,0,0,0,0,0,0,0,1,0
95OO,44105,43242,43150,92,247,46,75,7,5,114,284,9,84,191,137,195,23710,23340,23319,21,142,28,49,3,3,59,99,1,40,58,46,83,21362,21081,21064,17,124,25,46,3,2,48,65,1,27,37,27,65,2348,2259,2255,4,18,3,3,0,1,11,34,0,13,21,19,18,20395,19902,19831,71,105,18,26,4,2,55,185,8,44,133,91,112,14418,14082,14055,27,73,10,22,4,1,36,109,4,29,76,67,87,673,581,577,4,20,4,0,0,1,15,45,2,3,40,13,14,1220,1188,1153,35,2,1,1,0,0,0,18,1,4,13,7,5,1486,1465,1463,2,6,1,3,0,0,2,9,1,5,3,2,4,2598,2586,2583,3,4,2,0,0,0,2,4,0,3,1,2,2
